,logFC,AveExpr,t,P.Value,adj.P.Val,B,adj p val log,,GranPos,LFC,adjPV,,mtorcPos,LFC,adjPV,,riboPos,LFC,adjPV
TOLLIP,1.647907604,25.47909253,8.098562126,8.73E-05,0.005223519,1.972611188,2.282036846,,,,,,,,,,,,
HOOK2,1.645329802,17.50194625,2.472311243,0.042905877,0.126805289,-4.633354886,0.896862632,,,,,,,,,,,,
SLC6A15,1.643267861,19.86164848,3.667541582,0.008082016,0.050166492,-2.887302712,1.299586265,,,,,,,,,,,,
LIPA,1.642215246,21.2927878,4.155506761,0.00432691,0.037266827,-2.219042745,1.428677579,,,,,,,,,,,,
CHRNA7,1.6421827,15.67946539,2.371916753,0.049696244,0.138218694,-4.782433813,0.859433213,,,,,,,,,,,,
SRRT,1.640245971,21.09955809,3.664230797,0.008117339,0.050188049,-2.891948811,1.29939969,,,,,,,,,,,,
INO80B,1.638631419,19.52351954,5.496077436,0.000930574,0.018467975,-0.563338384,1.733580725,,,,,,,,,,,,
CEND1,1.637065175,19.37801751,3.783549677,0.006943899,0.046442106,-2.725426426,1.333088093,,,,,,,,,,,,
LRRC41,1.634946812,17.78026005,1.134670873,0.294103264,0.452302453,-6.448566334,0.344571057,,,,,,,,,,,,
CAPRIN2,1.634794086,21.30992285,2.160868997,0.067773985,0.169614682,-5.09349088,0.770536556,,,,,,,,,,,,
NYNRIN,1.633212233,15.98373473,4.728207829,0.002174975,0.027403333,-1.479108539,1.562196618,,,,,,,,,,,,
RSL1D1,1.632092166,23.56489349,3.460209765,0.010653162,0.058278611,-3.180947693,1.234490809,,,,,,,,,,,,
SURF4,1.631951173,23.05670142,6.900628205,0.000238136,0.008989793,0.903315577,2.046250309,,,,,,,,,,,,
RPL36,1.628671493,26.16938102,3.94486521,0.005641565,0.041745818,-2.503392234,1.379387028,,,,,,,,,,,,
RPS19BP1,1.628063558,20.10410124,4.06274675,0.004859146,0.038905201,-2.34346968,1.409992332,,,,,,,,,,,,
EPS8L1,1.62203432,19.33948199,4.872696867,0.001842343,0.025158944,-1.300174721,1.599307599,,,,,,,,,,,,
IDS,1.619906572,14.55124294,5.353691258,0.001082693,0.019992161,-0.726693821,1.699140266,,,,,,,,,,,,
ICA1,1.609821645,18.6419171,8.304712995,7.44E-05,0.00483469,2.142134839,2.315631358,,,,,,,,,,,,
UBTF,1.606184892,21.02909227,3.381676974,0.011847404,0.061965424,-3.293535879,1.207850571,,,,,,,,,,,,
PCDHB15,1.605433288,20.00871945,2.031822254,0.081957266,0.192092996,-5.28108844,0.716488469,,,,,,,,,,,,
XRCC1,1.60515177,19.99666918,4.000564356,0.005255928,0.040438269,-2.427579933,1.393207438,,,,,,,,,,,,
ATP6AP1,1.595935227,21.08998639,6.496959754,0.000344423,0.011427853,0.507307665,1.942035338,,,,,,,,,,,,
GCA,1.592915459,20.33488736,7.392424774,0.000155284,0.007168389,1.360557605,2.14457844,,,,,,,,,,,,
UTP14C,1.590576508,15.58449431,2.070497495,0.077421254,0.184931421,-5.225135038,0.732989293,,,,,,,,,,,,
CPVL,1.589058996,22.94374241,4.066568638,0.004835852,0.03889747,-2.33831829,1.410078651,,,,,,,,,,,,
ZC3H3,1.588453845,18.29433335,0.768023416,0.467744492,0.613309928,-6.797756069,0.212320005,,,,,,,,,,,,
BTF3,1.587214789,22.43975191,4.114645809,0.004553045,0.038002063,-2.273698202,1.420192831,,,,,,,,,,,,
TMTC2,1.583618888,19.73905226,2.759226011,0.028309967,0.098711151,-4.206346425,1.005633784,,,,,,,,,,,,
ARSB,1.567232588,18.02460525,6.086316172,0.000510496,0.014263648,0.083957492,1.845769379,,,,,,,,,,,,
PIGO,1.566076325,19.87793755,3.657078356,0.008194222,0.050369988,-2.901990887,1.297828151,,,,,,,,,,,,
VIM,1.562378269,29.68065932,2.399960402,0.047695276,0.134722882,-4.740839125,0.870558636,,,,,,,,,,,,
MFSD10,1.558370726,20.40915244,3.030947852,0.019240099,0.079332719,-3.80418527,1.10054766,,,,,,,,,,,,
DLAT,1.54013125,26.96997363,3.24314841,0.014319878,0.068256476,-3.49380151,1.165856138,,,,,,,,,,,,
MCF2L2,1.539789305,19.95993267,1.879638923,0.102494781,0.221976204,-5.498480946,0.653693581,,,,,,,,,,,,
SEZ6L,1.528279511,20.97426996,7.360860106,0.000159495,0.007255243,1.332004999,2.139348065,,,,,,,,,,,,
THRAP3,1.521766267,22.86911731,6.611705857,0.000309585,0.010603298,0.621854153,1.974559024,,,,,,,,,,,,
HAUS6,1.519953564,16.75233919,0.99423293,0.353435224,0.5169711,-6.594427132,0.286533734,,,,,,,,,,,,
RHBDD2,1.517873572,22.66826863,7.672940467,0.000122908,0.006333228,1.609714585,2.198374863,,,,,,,,,,,,
RNF213,1.513410043,19.33043246,4.685949826,0.002284451,0.027978008,-1.5320296,1.553183203,,,,,,,,,,,,
DBT,1.511322342,23.25808199,6.466625843,0.000354355,0.011576494,0.476758008,1.936422965,,,,,,,,,,,,
