nes n40n2,nes n40n3,nes n40n4,nes n40n5,nes n41n1,nes n41n2,nes n41n3,nes n41n4,nes n41n5,lamp n40n2,lamp n40n3,lamp n40n4,lamp n40n5,lamp n41n1,lamp n41n2,lamp n41n3,lamp n41n4,lamp n41n5
-3.064727657,-3.297074987,-3.195281322,-3.346814451,-2.54404987,-2.506059525,-2.457605075,-2.681779715,-2.7822793,-0.261741453,-0.229105433,-0.125609316,-0.153302954,0.288065352,0.2700978,0.371893848,0.29136648,0.361800967
-4.156344398,-1.252768832,-4.15470969,-1.882032932,0.209619971,-0.071692716,0.283417982,0.22673628,0.295585286,-6.41798641,-6.862804732,-6.029787634,-23.25349666,-3.844004665,-3.797367989,-3.540684792,-3.572410131,-4.256013382
-2.36764801,-2.056939632,-2.038426353,-2.153462595,-1.586063095,-1.499048375,-1.572418957,-1.621212626,-1.435545138,-3.39564961,-3.466888514,-3.373239552,-3.359360786,-2.824123464,-2.860318539,-2.911399496,-2.762477221,-2.918221315
-9.884733771,-23.25349666,-23.25349666,-23.25349666,-4.052883287,-4.005980218,-4.122896215,-3.461627838,-23.25349666,-4.695244167,-5.14028056,-8.121246375,-23.25349666,-2.739635635,-2.844061017,-2.723062007,-2.827256862,-2.753007534
-0.540913349,-0.306450845,-0.388070137,-0.272155546,0.121796973,0.180433923,0.303465024,0.192303523,0.174284898,-3.431320452,-3.398408308,-3.671837662,-3.402884126,-2.459216703,-2.439469417,-2.52049135,-2.637309554,-2.637762061
-3.520889165,-3.338286587,-3.406648141,-3.508168703,-4.324839186,-5.557926815,-5.182152202,-4.80798255,-4.341053709,-23.25349666,-23.25349666,-9.937761197,-23.25349666,-4.126453973,-3.887441479,-4.052722099,-3.635627809,-4.566800138
-4.272437896,-4.712897498,-4.009975036,-4.829097385,-3.060369262,-3.245195654,-3.275695451,-3.222616622,-3.126304987,-2.56151661,-2.679170018,-2.603648273,-2.651859028,-2.157949592,-2.170358781,-2.247606789,-2.143248072,-2.199819704
-2.959604568,-2.767364517,-3.085730554,-2.929859112,-1.965851479,-2.228392865,-2.197879347,-2.186670582,-2.050608736,-3.692875047,-3.815168112,-3.801007679,-3.801758767,-3.236539962,-3.342052404,-3.316770745,-3.306479896,-3.414453276
-23.25349666,-4.426097916,-23.25349666,-3.297535956,-2.145145355,-2.034494867,-1.897451694,-1.958403484,-2.211778218,-3.273243139,-3.512700402,-3.604253382,-3.54662061,-2.610867595,-2.618882809,-2.704908378,-2.695377444,-2.71242
-4.330874924,-4.090628435,-3.522740003,-4.513779167,-2.741668087,-2.818784466,-2.783167997,-2.580859194,-2.475824348,-1.527745578,-1.665370764,-1.702098376,-1.632296196,-0.680127776,-0.722777725,-0.547345906,-0.487872599,-0.753293928
-3.717190457,-3.230340797,-3.287961125,-3.025921942,-2.375072124,-2.488434102,-2.309531583,-2.395720791,-2.50185759,-23.25349666,-7.033563201,-23.25349666,-23.25349666,-2.088985328,-1.683748881,-2.173118585,-2.029444643,-3.844065824
-2.555851175,-3.320838911,-4.58512094,-3.216533811,-1.361367222,-1.290173985,-1.647941468,-1.457725715,-2.915496493,1.195346956,1.113937186,1.388878565,1.210993457,-23.25349666,-23.25349666,-0.758467177,-23.25349666,-0.888696605
-3.442755409,-3.405433978,-3.16530926,-3.3458213,-2.496873564,-2.251514585,-2.593119301,-2.33675902,-2.419117495,-3.839522382,-3.655764279,-3.919864055,-3.800296858,-3.008231345,-3.145193626,-3.087672452,-3.028303846,-3.009556601
-1.858082299,-1.82096583,-1.562454119,-2.09743161,-1.160348679,-1.090437375,-1.069284389,-1.103873438,-0.952644889,-3.70687749,-23.25349666,-23.25349666,-23.25349666,-1.812406426,-1.555794941,-1.49989037,-1.671080652,-2.158488611
1.707880834,1.695003754,1.712839889,1.772439257,2.037752376,2.108260623,1.988407488,1.970539991,1.997985744,-3.776758231,-3.772309941,-3.633786346,-3.767905686,-2.891074239,-3.067594958,-2.996743683,-2.886949986,-2.877529876
-2.174139063,-2.192237006,-2.149183298,-2.195812067,-1.750131462,-1.76266344,-1.922876661,-1.828818439,-1.800921223,-9.859236293,-23.25349666,-23.25349666,-23.25349666,-4.392252366,-3.945426569,-4.002475109,-3.822191501,-4.27776309
-3.188105762,-3.070072546,-3.398887913,-3.726397089,-2.096388599,-2.123696913,-2.022934087,-2.401457078,-2.152065515,-0.645746226,-0.516836035,-0.725883714,-0.567123923,0.042584796,0.030702196,0.129208356,-0.023118939,0.279280542
-2.045328899,-2.474908962,-2.142061599,-2.034235878,-1.511878996,-1.345463819,-1.365129679,-1.256728926,-1.68464407,-0.240220503,-0.29662767,-0.251882893,-0.18234505,0.170168509,0.082873357,0.167424182,0.130122957,0.208997704
-2.402327096,-2.616159902,-2.24563386,-2.484871816,-1.767228552,-1.571575758,-1.741396232,-1.797939129,-2.089461004,-1.19250742,-1.17338196,-1.314729927,-1.244861068,-0.44275135,-0.545279446,-0.584319036,-0.627356696,-0.496723858
-23.25349666,-3.702046098,-23.25349666,-3.598760112,-1.38448897,-1.206239673,-1.871163466,-1.298271374,-1.711378536,-3.565683653,-3.663791559,-3.654709951,-3.358208127,-2.859011675,-2.786093168,-2.784001307,-2.770421005,-2.845965583
-3.831164564,-3.546348576,-3.599363568,-4.236387185,-2.525281538,-2.862181583,-2.681595642,-2.685641766,-2.697793606,0.411286024,0.437124098,0.389353135,0.477620845,0.98814535,0.871727005,0.913329592,0.851827765,0.849928951
-3.682366173,-6.202817061,-4.381531464,-23.25349666,-2.070662102,-1.436513084,-1.880511636,-1.687430452,-1.845098762,-2.504717528,-2.801017221,-1.774512969,-4.353860057,-0.207807042,-0.161914079,-0.322454771,-0.32160374,0.17914988
