,baseMean,log2FoldChange,pvalue,padj,gene_name,present in APEX-RNCseq lyso?,present in APEX-RNCseq cyto?,present in FULL APEX-RNCseq lyso,present in FULL APEX-RNC cyto list,present in p300,present in Psig,present in Fsig
ENSG00000241095.1,8.790184636,1.405367897,0.004295579,0.018640261,CYP51A1P1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000261065.1,24.86224165,1.405083221,0.000123517,0.000766572,AL592146.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000204677.13,98.36313668,1.404204304,1.49E-09,1.46E-08,FAM153CP,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000283982.1,187.1571868,1.403928588,2.36E-10,2.41E-09,AL445623.2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000228049.7,31.90782916,1.40385962,7.09E-06,5.22E-05,POLR2J2,#N/A,#N/A,yes,#N/A,#N/A,#N/A,#N/A
ENSG00000162631.18,272.5101914,1.403398517,2.22E-28,4.26E-27,NTNG1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000111666.11,215.0289226,1.402302854,5.29E-22,8.47E-21,CHPT1,#N/A,#N/A,yes,#N/A,#N/A,#N/A,#N/A
ENSG00000169760.17,419.8673422,1.400608086,1.33E-34,2.94E-33,NLGN1,#N/A,#N/A,#N/A,#N/A,#N/A,yes,yes
ENSG00000167670.16,78.10333359,1.40016166,1.50E-10,1.56E-09,CHAF1A,yes,#N/A,yes,#N/A,#N/A,#N/A,#N/A
ENSG00000102271.14,66.46827473,1.399471342,2.15E-11,2.33E-10,KLHL4,yes,#N/A,yes,#N/A,#N/A,#N/A,#N/A
ENSG00000163964.15,249.7854064,1.399313442,2.66E-27,4.97E-26,PIGX,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000258388.7,487.1171937,1.399055463,9.53E-23,1.57E-21,PPT2-EGFL8,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000248180.1,13.65535302,1.398488584,0.000289378,0.001675416,GAPDHP60,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000179603.17,227.5682707,1.398481714,2.79E-27,5.21E-26,GRM8,#N/A,#N/A,#N/A,yes,#N/A,#N/A,#N/A
ENSG00000138411.13,642.1441014,1.398400153,1.41E-36,3.25E-35,HECW2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,yes
ENSG00000106211.9,70.13430848,1.39818224,9.20E-09,8.60E-08,HSPB1,#N/A,#N/A,yes,#N/A,#N/A,#N/A,#N/A
ENSG00000164118.13,149.7316992,1.397651776,1.46E-16,1.97E-15,CEP44,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000125652.8,28.52691466,1.397516904,5.26E-06,3.93E-05,ALKBH7,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,yes
ENSG00000165671.20,2006.61,1.397455664,7.44E-37,1.73E-35,NSD1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,yes
