PG.ProteinGroups,300_24
Q9BV35,-1.91219120639077
O43818,-4.92110668928865
P55209,-8.15535140668039
P28288,-6.96612869548181
P63000,-7.26735829513289
Q6P4A7,-14.4942180711766
P62750,-7.36307319530354
Q9Y692,-0.0978573742376051
A1L0T0,-9.68090938911013
P49593,-7.25276939463261
Q96MW7,-14.3769089477162
Q684P5,-6.47683276949812
Q9H999,-1.14373148106681
P17041,-11.1769829645698
Q13158,-2.9604668036907
Q8NEJ9,-4.32704414503208
Q9P121,-6.5338847218102
Q86XK2,-4.79011467384223
Q8N6N2,-5.8115376568575
Q9H7L9,-2.23873351239591
O95825,-4.64035991415779
Q9UPW5,-8.96073885628798
Q8N6N3,-5.43160219204874
Q86VD7,-3.51688695987693
P78310,-7.70149885261779
Q6PI98,-7.53776828950799
Q70CQ4,-5.43863173074406
Q8WYA0,-3.74677375211814
Q9NQT5,-7.57958333602096
Q9UNA1,-3.64598299631321
Q86Y82,-7.48203426023363
Q9H1D9,-16.1347649074358
Q8N4U5,-15.4613923766942
Q9NVR5,-10.4860247855767
Q8IV38,-23.2534966642115
Q4ADV7,-0.956942427096453
Q13257,-4.08485051469602
Q9NQV5,1.70394316104811
Q92828,-1.88026467210842
Q9Y2K6,-5.00031109132953
Q5T440,-4.63172509752701
Q9H6U8,-9.41672332522069
Q08345,-8.52422647020052
Q9UKN8,-7.30784584347479
P40925,-8.79554609343601
Q9UET6,-6.1485820495654
O76080,-3.99080769606443
Q9Y4C4,-5.65425428613068
Q96SW2,-6.51950680930473
O95757,-5.65355524688167
Q9Y5B8,-7.51325801975107
Q13796,-5.47191019135607
P35716,-5.2868250022546
Q32P41,-4.46474881834522
P49458,-8.03464082132104
Q5TC82,-5.5378227223332
Q9Y328,-5.90262448765533
Q9GZZ1,-6.15849446951092
P20339,-5.41831579830927
P98179,-3.12677686795402
Q68DH5,-5.82560277594734
Q9BY41,-14.3558429223922
O15417,-11.627963043977
Q14684,-5.16131581239267
O75688,-7.80229878200756
Q16854,-1.41887533925943
P83876,-1.87742177094348
P46199,-13.2978692984206
O95822,-3.59452228255587
Q96BY9,-11.7280602807598
P56211,-6.30966116231581
Q02880,-8.5662327166537
Q6VAB6,-4.57797762168046
Q99856,-7.89407107434293
Q9HBF4,-7.65733697974859
Q5VZL5,-13.3442687856479
Q15942,-7.71618683165075
Q96Q11,-7.38241671679427
Q9UJC3,-23.2534966642115
P50416,-4.86414994181214
Q13185,-5.67884061700856
Q99767,-5.57524691456539
Q9UNA4,-5.83148986075323
Q8N126,-7.09231483388131
Q9P227,-10.3931272864151
P06396,-7.55844756577203
Q16842,-13.0245793120091
Q9UHB4,-13.1545551161873
O94813,-6.79666419300975
Q9H8Y8,-5.84312562429485
Q96P11,-7.8811353344552
Q9UMY4,-4.34586521175328
Q68D10,-4.79936659123621
P61018,-5.33335462730691
Q969U7,-4.77672181114161
Q5VWX1,-2.99146852164424
Q9NWW6,-3.47892423149246
Q9BQ69,-2.07734811293295
O75077,-0.958615054559984
P35659,-7.71505102791728
O43148,-11.4460576776247
Q9UKK3,-1.29285724545018
O75529,-5.99650168823053
P08243,-7.72646244759879
Q9Y3C1,-4.72774523918468
Q8NBP0,-2.78911729038147
Q5TGI0,-8.18263854096358
Q9UGU5,-4.73432292640333
Q9BQG2,-11.6895434056236
Q16698,-10.0220274822678
Q8WVY7,-8.68390969684308
Q14004,-3.59572688781923
P15907,-3.15266912921509
P17706,-4.64922485024282
Q9H814,-5.2383212231107
A6NHX0,-7.43795716961721
Q9NZV8,-3.63582535240217
P40938,-7.15315110640152
Q86Y79,-5.94129981880873
Q7LGA3,-6.43078192362328
Q9H307,-7.18953336831309
Q96LA8,-23.2534966642115
Q4W5G0,-6.96085165631009
Q9NVR0,-1.6175992846308
Q9UJC5,-9.59075732993746
A4D1E9,-4.59450432461976
Q9H254,-2.32055180515929
O43427,-14.2908870364699
Q8N8A6,-7.55483663202916
Q13219,-4.24109559208591
Q92871,-5.22116687349612
O60245,-7.54539079697059
O75528,-4.23295707107748
O75150,-5.51664921923677
Q9Y487,-4.82251591039086
Q6DCA0,-5.13557136789467
O76071,-4.18906062591074
Q9UQ16,-8.19543151523535
Q9UJ41,-7.75985804934678
O43159,-8.15185443887417
