PG.Genes,ConditionNorm_P_50_1_log2,ConditionNorm_P_50_2_log2,ConditionNorm_P_50_3_log2,ConditionNorm_P_150_1_log2,ConditionNorm_P_150_2_log2,ConditionNorm_P_150_3_log2
ORC4,-2.894581625,-2.874498446,-3.364726555,-2.675261317,-2.222536003,-2.314706712
RBM27,-4.164901123,-4.031521371,-3.622121924,-3.612117897,-3.408674333,-3.649845391
CELSR3,-6.170145828,-5.579912263,-5.788187063,-4.338270358,-4.957317732,-4.270505763
BAG6,-4.633742113,-4.162872037,-4.414386778,-3.824955568,-3.644956374,-4.572412433
TOR1AIP2,-4.46998411,-4.037197476,-4.572148059,-3.50553467,-3.903563808,-3.682408655
TFRC,-4.774454669,-5.250307429,-4.65222339,-4.008177549,-4.43511554,-4.470631487
GATAD1,-4.351839931,-4.372282029,-4.916607935,-4.801330391,-4.512732719,-4.226433846
MEX3A,-3.599964131,-3.529252181,-4.115302304,-3.021613933,-3.807303015,-3.110306866
KIF26A,-4.579948799,-3.96847547,-4.195598413,-2.896365178,-2.81039124,-2.548605777
CAB39,-4.805378357,-4.614817133,-4.247060121,-4.204287682,-4.407678328,-4.889882268
ACP1,-5.014367937,-5.220110262,-4.900294073,-4.757604342,-4.727755983,-4.364393303
WASF1,-6.611876425,-6.101935379,-6.028014513,-4.316865474,-4.700706389,-4.332525647
MARF1,-4.465513032,-3.96557442,-3.864070924,-4.322450744,-4.224386707,-4.04989459
PMVK,-5.802760788,-5.181722899,-5.397917298,-4.610467844,-4.978365945,-4.12849695
DPYSL2,-9.251329162,-8.702963977,-9.0716918,-6.56496769,-6.848377404,-7.070419367
NDUFA5,-3.870723045,-4.099883035,-4.292173757,-3.706405241,-3.673783179,-3.676506961
ASPH,-2.006473598,-2.047159787,-2.38457521,-3.103651547,-3.30510418,-3.294872912
SESTD1,-3.885328122,-4.249144957,-3.743317548,-3.794928831,-3.553045523,-3.761574807
KDM4B,-3.5584415,-4.166521553,-3.903859977,-2.464913426,-2.56273024,-2.236340171
PGRMC2,-5.190159207,-5.202914548,-5.771414695,-3.980910962,-4.065263855,-3.937498484
TDG,-3.537677118,-2.990417609,-3.055449395,-2.900526224,-2.888344684,-2.719200849
CCSER1,-0.005836742,-0.184042951,-0.314860234,0.282224663,-0.017306962,0.361838448
RPL18A,-6.068660921,-6.284186236,-6.269186153,-5.234506731,-5.613712642,-5.300738161
VPS45,-4.637634076,-4.518057541,-5.137419743,-4.345738063,-4.198858476,-4.522107902
PPP3CB,-5.759978536,-6.09572174,-5.463724562,-4.962894238,-4.958976817,-4.695475022
SLC35E1,-4.549550545,-4.756097359,-5.146049863,-3.784157731,-4.145398448,-4.018751211
CNTNAP5,-3.895002942,-4.166427858,-4.536168697,-3.553190735,-3.437596959,-3.318320456
GIGYF2,-4.626507205,-3.983676793,-4.268043826,-3.789886308,-3.347195507,-3.725724638
STMN1,-6.346486996,-6.528209577,-5.98025127,-6.708058854,-6.014052997,-6.078179616
TCEA2,-1.609017201,-1.512714159,-1.924007277,-2.222210867,-2.212731989,-1.723265457
WDR46,-5.493271077,-5.705826678,-6.06195549,-4.649082267,-4.37582757,-4.617442962
UQCRC1,-6.492744046,-6.238694043,-6.75705895,-5.691621382,-5.537375226,-6.382670153
KIF3A,-11.78907188,-12.09478162,-12.12203645,-11.10212023,-10.89555538,-10.8549337
LRRC47,-6.682831319,-6.05682699,-6.107842751,-4.813456331,-4.922829177,-5.197471119
GRN,-0.471139818,-0.545171895,-0.392414725,-0.338389697,-0.522037798,-0.39606178
TNIK,-3.249391616,-3.566345068,-3.2299053,-2.607291222,-3.033433859,-2.738422888
RPRD1B,-4.93502344,-5.020317161,-4.443218073,-3.796304385,-3.914590078,-3.919968977
DEF8,-1.716122803,-1.661514444,-1.719764895,-1.884120947,-1.729661057,-1.686693596
SLC12A2,-4.119864847,-4.273690902,-4.07071543,-3.424107862,-3.230836123,-2.996442643
SCRN1,-5.439332869,-5.966124563,-6.009648485,-4.77510587,-4.56919014,-5.011615583
CS,-8.470272418,-7.848888342,-7.836674623,-7.674893588,-8.346038039,-7.695433936
SLIT1,-4.090556663,-3.601928056,-4.20557499,-2.399430496,-2.606759675,-3.229208798
CTNNB1,-3.929358904,-3.966223964,-3.396578933,-3.689980831,-3.541199471,-3.552698135
MRPL24,-5.813523603,-5.944977729,-5.353055512,-5.314814748,-5.03502187,-5.085245631
TRAPPC1,1.70089872,1.648538894,1.7289577,1.754225208,1.549074376,1.695787758
CNPY2,-7.615130665,-6.924865284,-7.195567781,-4.785660595,-5.479964828,-4.874247724
SBK1,-4.826260046,-4.140554453,-4.214693315,-3.502564291,-3.878767909,-3.722955741
PPP4C,-4.380253786,-4.848274767,-5.014504947,-4.147988657,-3.892840356,-3.834007364
MAGED2,-6.189719041,-6.489628102,-6.903251239,-5.434393345,-4.43941433,-4.285354704
XXYLT1,-4.148562149,-4.730953845,-4.713579505,-3.647736758,-3.520438731,-4.65025381
NDUFS5,-5.459537891,-5.859667361,-5.642115464,-5.009663434,-5.089828604,-4.732868123
UBE2K,-4.243728814,-4.580089047,-4.901660548,-4.413727614,-4.242458154,-3.680799833
ECE1,-4.604240195,-4.903324212,-4.199792215,-2.749942983,-2.814186346,-2.684259609
CLTC,-12.12877953,-11.45171911,-11.64039845,-10.06480117,-9.980904332,-10.80518224
UBE2V2,-5.537729026,-5.524049231,-5.02992205,-5.030455558,-5.115235277,-4.479797894
FAXC,-4.768968795,-4.451535519,-4.044802364,-3.902977168,-3.774612031,-3.850737511
CTIF,-3.853009489,-3.110457307,-3.373680631,-2.758721659,-2.88375414,-3.204197497
KCTD1,-2.647736018,-2.907152617,-2.64792812,-2.215889752,-2.332417026,-2.599961479
ELP3,-5.394639493,-6.007567985,-5.984610971,-4.861675092,-4.219041623,-4.986027252
MAP3K12,-4.577957426,-4.963576569,-5.315983874,-3.855678965,-3.674663211,-3.71585676
SMARCB1,-3.773942189,-3.614569309,-4.177370028,-2.847212388,-2.756944786,-2.965242848
PSPC1,-6.208352296,-6.252682668,-6.928278167,-6.438741499,-5.668153014,-5.578051088
AP2A1,-9.999748486,-9.789440959,-10.5520029,-8.624727126,-8.028684597,-8.168337702
PTPRF,-4.290075887,-3.94069815,-4.69604708,-4.334139023,-3.280548775,-3.697347105
ARID3A,-4.334780669,-3.742557103,-4.356415581,-2.72734684,-2.894853638,-2.662310505
ELAVL1,-5.929347225,-5.190392921,-5.267160976,-4.385650906,-4.348201112,-4.651490704
C8orf82,-5.627532416,-6.317772967,-5.843493697,-5.061509291,-5.336995767,-5.108413459
OSBPL11,-4.093266213,-4.119313408,-3.514341918,-4.21763519,-3.536714605,-4.136258794
TNKS1BP1,-5.943673131,-5.187133101,-5.558401388,-4.8541692,-4.334740869,-4.384028723
PRRC2B,-3.946571113,-3.91986408,-3.317505446,-2.890739502,-3.034554405,-3.182699132
LRRC14,-4.682946849,-5.399498804,-4.978081621,-4.290116346,-3.782710951,-4.151675025
SCMH1,-1.833776468,-1.072684757,-1.133296755,-0.818558166,-0.952848368,-0.606034928
RETSAT,-6.079442053,-5.323229161,-5.411680819,-3.714041173,-4.368111006,-3.445706645
SENP3,-4.017248249,-4.748509273,-4.132178119,-3.868242793,-3.240157002,-3.522450828
POLR2B,-5.265402465,-5.812186712,-4.997043967,-4.471325794,-3.916776896,-4.01972165
PPP6C,-6.23326308,-5.8058477,-5.974236244,-4.164094972,-3.609719296,-3.622435959
KIAA1549,-4.260106379,-4.427479207,-3.703633332,-2.900714309,-2.989041809,-2.676789123
PELI2,-4.306800283,-3.687882125,-4.363888423,-3.129145481,-3.53236111,-3.148361936
KIFAP3,-3.896059208,-4.436886066,-3.884652176,-3.069008874,-2.837405012,-2.574079086
B3GAT3,-4.274627537,-4.153248239,-3.67943124,-3.476558776,-3.648364632,-3.226456511
RUNDC3A,-4.958477646,-4.706891949,-5.557157434,-3.847247361,-3.45839205,-3.728152543
ACOX1,-5.340796368,-5.659866523,-4.944796528,-5.008646401,-4.518497559,-5.231737551
ERP29,-5.894749409,-5.208484699,-5.049514156,-4.940148953,-5.508855167,-4.925079713
SLC35E2B,-0.770764079,-1.022859776,-1.142528634,-0.3874181,-0.727729381,-0.648670544
LANCL2,-6.752030218,-6.545927875,-5.995963787,-7.202709317,-7.11249702,-8.209435368
TSEN34,-4.31838933,-4.249343354,-3.67749257,-2.143895393,-2.705232594,-2.137645396
LONP2,-5.71111371,-5.45755188,-4.926479917,-4.784613537,-4.992407087,-4.583597251
PABPC4,-9.801699014,-9.403997421,-10.18783447,-8.97481947,-8.346634787,-8.566031144
SRP9,-4.163286268,-4.201359853,-4.164001839,-3.591418836,-3.595428086,-3.573687042
TSN,-5.221066405,-5.997612446,-5.62995979,-4.371536588,-5.382478177,-4.73060553
HECA,-4.873096315,-4.007134206,-4.362966718,-4.694926954,-4.544283566,-4.089344994
APBB1,-2.809866439,-3.653321435,-3.17111055,-3.290855816,-2.934912494,-2.799009866
PRKACA,-9.56891992,-8.951630673,-9.69573403,-8.398688385,-8.077622886,-8.064360071
SPOCK1,-2.826435393,-2.964832462,-2.274780979,-2.116303563,-2.14769961,-1.997516172
NAV1,-4.249596857,-5.061242588,-4.234923708,-4.913086161,-5.00876232,-4.271142653
OSBPL9,-4.543395143,-5.014958098,-4.138503476,-3.909693469,-3.671700625,-3.969784015
COPG2,-6.089271723,-6.829946316,-6.473255336,-6.199798387,-5.805715652,-6.8134813
SCARB2,-5.501276923,-5.409502696,-4.751498732,-5.1048652,-4.684952736,-5.300134146
TMEM106B,-2.719222608,-2.999599497,-2.427648374,-2.637901481,-2.545614372,-2.127880455
PACSIN2,-5.585252781,-5.934936587,-6.489218274,-6.5052061,-5.4274573,-5.572925306
FBXO22,-5.950232252,-6.522567005,-5.616151485,-4.534805041,-4.67569566,-4.934912385
FRMD4A,-7.037539149,-7.822972137,-7.672484216,-4.329140764,-5.332225878,-4.206658515
IGDCC3,-4.947621456,-5.318549024,-4.445225313,-3.388483453,-3.222958167,-3.215563377
TENM4,-10.88909613,-10.42354156,-10.01582173,-10.61498756,-10.16555373,-10.306915
SORCS3,-3.724012179,-3.361206627,-3.530759978,-2.658869417,-2.739841059,-2.865489234
SIN3A,-4.669424199,-4.029966011,-4.838165046,-3.475489162,-3.575588984,-3.576711647
PTPRT,-4.041019826,-4.973615835,-4.443671609,-2.833459649,-3.342112644,-3.617764463
PPP1R3F,-5.805443734,-4.861144854,-5.151171814,-4.476202264,-5.240678692,-4.810954817
IRF2BPL,-4.441960123,-4.81910244,-5.3878087,-3.863652805,-4.05483359,-3.716712569
SUB1,-8.193784206,-9.065698336,-8.599602508,-8.507209385,-9.550076214,-8.612704304
TERF2IP,-5.985518948,-5.042620356,-5.143180761,-5.306506951,-5.152588271,-4.707092732
SEC16A,-5.245329795,-4.994960656,-5.964309475,-4.484651358,-4.102404384,-5.16418034
