PG.Genes,ConditionNorm_P_150_1_log2,ConditionNorm_P_150_2_log2,ConditionNorm_P_150_3_log2
SCRN1,-4.77510587,-4.56919014,-5.011615583
RAC3,-4.349098573,-4.555439044,-4.792502063
PPP3CC,-6.800980426,-7.220025518,-6.897254008
CCDC25,-4.483061747,-4.922456396,-4.724150837
RNH1,-5.349017373,-4.974689629,-4.925089721
METAP2,-4.876191486,-5.314846099,-4.973750157
RGS8,-4.416163242,-4.170459493,-4.610780921
SLC6A17,-2.296793674,-2.15051641,-2.072485441
OSBP2,-5.946222625,-5.692633794,-6.135606128
ATXN10,-4.090674736,-3.819951757,-3.636652855
CTIF,-2.758721659,-2.88375414,-3.204197497
STX7,-4.375647585,-4.002486939,-3.936415115
FRG1,-5.819845019,-5.754958016,-6.147296001
GEMIN4,-4.809270324,-4.981267268,-4.580317071
B4GAT1,-2.630879256,-3.041813227,-2.621096205
ATP13A1,-4.731575038,-4.819284107,-5.178257875
LAMTOR1,-4.499593527,-4.927627322,-4.516767219
CHMP4B,-5.681051982,-5.89491676,-5.501326508
WDSUB1,-2.833003277,-3.026388463,-2.569908456
CDC37L1,-0.233756654,-0.27444607,-0.672021002
DCHS1,-2.223098846,-2.416084448,-2.214394355
NAA30,-3.807580052,-3.622880631,-4.091727208
KIF3C,-2.461097324,-2.891061095,-2.804094545
ILVBL,-4.343360506,-4.466873384,-4.813612505
NECAP1,-7.289894426,-7.313760611,-7.227119738
CENPV,-6.223876287,-6.073425868,-6.035754109
DOCK3,-5.401662387,-5.796084677,-5.328679315
PIK3C2B,-4.380659122,-4.868088378,-4.51301923
ZDHHC17,-3.487176911,-3.197840451,-3.037304133
NBEA,-4.724133883,-4.468433827,-4.240495305
PARK7,-6.23402117,-5.97435509,-6.461299411
ORC4,-2.675261317,-2.222536003,-2.314706712
PYGO2,-3.295553482,-3.384518515,-3.435257767
DNMT1,-3.359936856,-2.918618689,-2.903552534
TANC2,-3.34644139,-3.2859232,-3.720127778
SLC44A1,-4.728304471,-4.873898874,-5.227937156
GIGYF2,-3.789886308,-3.347195507,-3.725724638
OCIAD1,-4.356789529,-3.95037265,-3.867087011
TENM4,-10.61498756,-10.16555373,-10.306915
ANKHD1,-4.73498611,-5.063924503,-4.55930319
AGO4,-4.000413625,-4.016763593,-4.378752521
APBB1,-3.290855816,-2.934912494,-2.799009866
ZNF195,-2.219648833,-2.110432087,-2.484541373
SLC1A6,-2.633069942,-2.254961299,-2.709535699
SIN3B,-3.448767753,-3.553066333,-3.086521738
PRRC1,-5.694903805,-5.72479107,-5.660886171
KAZN,-4.403621304,-4.188628753,-3.901163866
JPH4,-2.662355242,-2.358469938,-2.323914584
ZC3H6,-2.269649286,-1.90032362,-1.752548623
IGBP1,-3.313270596,-3.643749897,-3.529350757
B3GAT3,-3.476558776,-3.648364632,-3.226456511
REXO1,-3.812448485,-4.293888024,-3.830946082
PARD3,-3.376673753,-3.86790669,-3.709882703
DPYSL2,-6.56496769,-6.848377404,-7.070419367
CHKA,-3.539217523,-3.644465734,-3.907276743
KIAA0930,-3.986382662,-3.584033854,-3.468153898
HECTD4,-10.23804767,-9.905931412,-9.742675873
FAM98A,-5.02969569,-5.259197016,-5.141005761
RPL18A,-5.234506731,-5.613712642,-5.300738161
TRIM27,-3.233601853,-2.98913006,-3.50476069
FBXL20,-4.722491051,-4.245044423,-4.617929231
UNCX,-2.534470907,-2.067622537,-2.053106809
NDUFS5,-5.009663434,-5.089828604,-4.732868123
ERC1,-7.473477012,-7.857542877,-7.333068162
SRP9,-3.591418836,-3.595428086,-3.573687042
SNRPA,-5.790175261,-6.082067702,-6.197310986
HMG20A,-1.793933606,-1.950797696,-2.272814203
FKBP4,-6.11683207,-6.250322705,-5.770741585
PTBP3,-3.531182292,-3.351150078,-3.569652246
DERL1,-5.110431641,-5.439538845,-5.173290406
SSRP1,-7.605523726,-7.741091107,-8.129430935
ANKRD17,-4.984924143,-4.481340667,-4.838286379
CCDC97,-3.905676625,-3.395777052,-3.430573462
GNA13,-5.050078658,-5.214131209,-5.591784972
NOL4L,-2.327716212,-2.130981299,-1.811197152
RRAGA,-5.096874928,-5.27558965,-4.758012007
TFRC,-4.008177549,-4.43511554,-4.470631487
GFRA1,-2.939586592,-3.192477027,-3.480142449
HNRNPH2,-4.422913239,-4.107991887,-3.876558524
KDM4A,-3.0834056,-3.619090783,-3.181320575
RAB30,-3.383305517,-3.276430029,-2.886765351
TNKS1BP1,-4.8541692,-4.334740869,-4.384028723
SF3B3,-6.442313339,-6.408822332,-5.981393363
SYT2,-2.13557268,-2.566710685,-2.487147796
SEC22B,-6.386809074,-6.849311012,-6.821173575
PPM1A,-5.87903787,-5.802008315,-5.467635924
USP3,-4.894726414,-4.347265432,-4.466527739
CLPTM1,-6.048558089,-6.120100479,-6.570412449
HNRNPDL,-7.8090012,-7.530859823,-7.554091034
SDR39U1,-5.651717549,-5.431809908,-5.989476504
KIFAP3,-3.069008874,-2.837405012,-2.574079086
TMEM65,-5.469005518,-5.506431118,-5.033863428
PSMD9,-4.57373867,-4.514737003,-4.089472454
NCOA6,-0.947211565,-1.026546904,-0.949214211
POLR2B,-4.471325794,-3.916776896,-4.01972165
MED26,-1.857033519,-2.018501602,-1.645701854
PHF8,-4.753390628,-4.194265373,-4.48391952
LETMD1,-5.902429554,-5.672059506,-5.351194562
SPNS1,-3.810838331,-3.81902667,-4.300129182
