PG.ProteinGroups,PG.Genes,ConditionNorm_N40_N_2,ConditionNorm_N40_N_3,ConditionNorm_N40_N_4,ConditionNorm_N40_N_5,ConditionNorm_N41_N_1,ConditionNorm_N41_N_2,ConditionNorm_N41_N_3,ConditionNorm_N41_N_4,ConditionNorm_N41_N_5,MedianConditionNormN40N,MedianConditionNormN41N,logFC,AveExpr,t,P.Value,adj.P.Val,B,mass,neglog(adj.P.Val),TotalPeptidesOverallInGene,LAMP Assoc
Q5MNZ9,WIPI1,0.255161925,0.097679324,0.249640902,0.259302587,0.274703451,0.247163875,0.064128653,0.226900097,0.174249932,0.252401413,0.226900097,0.012222165,0.209335102,0.205382858,0.843628905,1,-8.304010659,"48,673",0,5,1
O75477,ERLIN1,0.032688438,0.023168159,0.036274494,1.00E-07,0.045550308,0.00491474,0.009883582,0.02216067,0.005697693,0.027928299,0.009883582,0.002405473,0.021830061,0.203791749,0.84482106,1,-8.304384209,"38,926",0,15,1
P68104,EEF1A1,0.28192349,0.361179091,0.439555082,0.419034906,0.337673333,0.269851605,0.41245976,0.53390664,0.268979685,0.390106999,0.337673333,-0.013049692,0.381947988,-0.20250976,0.845781925,1,-8.3046831,"50,141",0,2,1
Q4G0J3,LARP7,0.060840524,0.051467856,0.026053526,0.057139595,0.021600153,0.05732949,0.030277287,0.074994848,0.058084484,0.054303726,0.05732949,0.002824931,0.04746291,0.200288564,0.847447416,1,-8.305196555,"66,899",0,30,1
P13804,ETFA,1.00E-07,1.00E-07,0.000495438,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0.000123835,6.20E-05,0.197979357,0.849179802,1,-8.305724424,"35,080",0,20,1
P61224,RAP1B,1.00E-07,1.00E-07,0.068484186,1.00E-07,1.00E-07,0.052111106,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0.00409327,0.015074486,0.196767366,0.850089412,1,-8.305999058,"20,825",0,1,1
Q8TB96,ITFG1,0.116830429,0.161338631,0.144290183,0.118535834,0.118037486,0.150314013,0.22708174,0.071133654,0.240466662,0.131413009,0.150314013,-0.006392954,0.138445246,-0.191679337,0.853910725,1,-8.307133805,"68,108",0,10,1
Q86UE4,MTDH,0.087453558,0.095975434,0.096003134,0.075684617,0.092334502,0.072079427,0.088420364,0.096984653,0.088837883,0.091714496,0.088837883,0.001324449,0.088116961,0.188526869,0.856280511,1,-8.307822132,"63,837",0,19,1
P19021,PAM,0.796843899,0.946363577,0.755852888,1.052429003,1.016192398,0.816588144,0.939305008,0.711989854,1.091168234,0.871603738,0.939305008,0.016853491,0.879445596,0.181953218,0.861227262,1,-8.309221135,"108,332",0,19,1
P14406,COX7A2,0.069719627,0.070596466,0.077887924,0.072847361,0.075410374,0.077767402,0.067381876,0.072464406,0.072120616,0.071721914,0.072464406,-0.00049317,0.073009429,-0.17233779,0.868475183,1,-8.311178954,"9,396",0,2,1
Q96GJ1,TRMT2B,0.141718181,0.196537217,0.115037514,0.032785679,0.117031133,0.00921503,0.29927633,0.106813873,0.128231912,0.128377847,0.117031133,-0.011564444,0.12730187,-0.172302317,0.868501948,1,-8.311185982,"56,476",0,1,1
Q8N4M1,SLC44A3,0.258700168,0.257060758,0.930560498,0.879263536,0.375400258,0.371512531,0.83988363,0.891721982,1.283973304,0.568981852,0.83988363,-0.03823336,0.60051292,-0.168201893,0.871597037,1,-8.31198869,"73,783",0,6,1
O95670,ATP6V1G2,1.00E-07,0.045805992,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0.036347394,1.00E-07,1.00E-07,1.00E-07,0.002364649,0.010269248,0.167201821,0.872352288,1,-8.312181559,"13,604",0,6,1
Q9GZU7,CTDSP1,0.363207948,0.319318907,0.071111647,0.066555261,0.092713049,0.272363992,0.090986927,0.438399363,0.34156336,0.195215277,0.272363992,-0.018567392,0.214332137,-0.167191655,0.872359966,1,-8.312183514,"29,203",0,2,1
Q14997,PSME4,0.111876351,0.11270502,0.093357771,0.088410022,0.110866067,0.096192357,0.106901312,0.097082004,0.101156472,0.102617061,0.101156472,-0.001173144,0.102173863,-0.167002017,0.872503197,1,-8.312219956,"211,334",0,66,1
P83111,LACTB,0.010517024,0.01733828,1.00E-07,1.00E-07,0.020258295,1.00E-07,0.011813546,1.00E-07,1.00E-07,0.005258562,1.00E-07,-0.001054134,0.007490943,-0.166503374,0.872879839,1,-8.312315583,"60,694",0,13,1
