PG.ProteinGroups,PG.Genes,ConditionNorm_N40_N_2,ConditionNorm_N40_N_3,ConditionNorm_N40_N_4,ConditionNorm_N40_N_5,ConditionNorm_N41_N_1,ConditionNorm_N41_N_2,ConditionNorm_N41_N_3,ConditionNorm_N41_N_4,ConditionNorm_N41_N_5,MedianConditionNormN40N,MedianConditionNormN41N,logFC,AveExpr,t,P.Value,adj.P.Val,B,mass,neglog(adj.P.Val),TotalPeptidesOverallInGene,LAMP Assoc
Q8IYD2,KLHDC8A,2.143138405,1.816244528,0.903420154,1.898863668,2.37361958,3.731578424,2.910339352,2.082713471,3.255026385,1.857554098,2.910339352,-1.084146018,2.232489698,-2.478786836,0.045286085,0.113319388,-5.839091432,"38,859",0.945695781,6,1
Q96DH6,MSI2,0.1723405,0.186132915,0.174435008,0.145879917,0.214009036,0.178707711,0.221458303,0.190288504,0.187315714,0.173387754,0.190288504,-0.031418804,0.185406487,-2.474428681,0.045563969,0.113768419,-5.845464986,"35,197",0.943978278,8,1
Q70Z35,PREX2,0.324672702,0.246293274,0.21943328,0.208104818,0.357410022,0.437235735,0.300754918,0.300665036,0.334403,0.232863277,0.334403,-0.099390409,0.299321223,-2.469776649,0.045862554,0.114452139,-5.852268036,"182,622",0.941376088,22,1
Q9UJZ1,STOML2,1.00E-07,1.00E-07,0.009479029,1.00E-07,0.032004897,1.00E-07,0.024277499,0.02298041,0.008782161,1.00E-07,0.02298041,-0.017445894,0.011092779,-2.465134035,0.046162569,0.115107636,-5.859056997,"38,534",0.938895866,15,1
Q96EX2,RNFT2,0.706528711,0.586669355,0.427887375,0.790441308,0.815792471,0.727073063,0.894528395,0.977596813,0.419481795,0.646599033,0.815792471,-0.225865998,0.740814686,-2.454247559,0.046874123,0.116630285,-5.874975069,"48,965",0.933188662,6,1
Q8NCD3,HJURP,0.33591017,0.532101808,0.58487219,0.522136551,0.636752139,0.825122009,0.588495568,0.639275127,0.607262162,0.527119179,0.636752139,-0.178656031,0.583083195,-2.45139292,0.04706259,0.116973308,-5.879148738,"83,539",0.931913228,12,1
P20674,COX5A,0.030914951,0.022527437,0.04771299,0.052772043,0.107249933,0.042774182,0.067681566,0.079352752,0.111907951,0.03931397,0.079352752,-0.035782753,0.056373232,-2.443423061,0.047592957,0.117911169,-5.890800345,"16,762",0.928445054,2,1
Q86V24,ADIPOR2,0.163428481,0.081238133,0.102008434,0.26276605,1.00E-07,1.00E-07,1.00E-07,0.124859926,1.00E-07,0.132718457,1.00E-07,0.121145218,0.091787665,2.442451922,0.047658007,0.118009088,-5.892220022,"43,884",0.928084545,1,1
P10644,PRKAR1A,2.008967014,2.07608143,1.81846959,2.017047212,2.136311484,2.435983364,2.125046702,2.119430855,2.225538343,2.013007113,2.136311484,-0.224051789,2.092167206,-2.428706882,0.048588676,0.11972714,-5.912311158,"42,982",0.921807392,13,1
P34741,SDC2,0.463170439,0.645098014,0.533415887,0.663724893,0.813052238,0.659043688,0.748163124,0.655216664,0.811269242,0.589256951,0.748163124,-0.14251662,0.647610619,-2.424745759,0.048860374,0.120309724,-5.918100289,"22,160",0.919699269,8,1
Q16774,GUK1,0.138330275,0.135116633,0.110384622,0.155972517,0.086997191,0.080864364,0.043692817,0.133811413,0.123231388,0.136723454,0.086997191,0.048609566,0.110646229,2.424342116,0.048888148,0.120346065,-5.918690185,"21,726",0.919568105,9,1
Q8TDX7,NEK7,0.035428457,0.13042158,0.117223458,0.194735526,0.211613745,0.208534869,0.226746068,0.441299356,0.146137947,0.123822519,0.211613745,-0.152596254,0.195750382,-2.416091547,0.049459482,0.121332548,-5.930746867,"34,551",0.916022682,9,1
Q9Y289,SLC5A6,0.078333334,0.01868425,0.033832048,0.052260622,0.08723228,0.05131247,0.121005573,0.113176808,0.171593095,0.043046335,0.113176808,-0.047404219,0.069479673,-2.415895041,0.049473174,0.121333944,-5.931034002,"68,642",0.916017686,6,1
P10746,UROS,1.00E-07,1.00E-07,0.022791862,1.00E-07,0.05765658,1.00E-07,0.115547889,0.124274529,1.00E-07,1.00E-07,0.05765658,-0.068671734,0.040033908,-2.414561008,0.049566229,0.121529927,-5.93298326,"28,628",0.915316763,8,1
Q14914,PTGR1,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0.035852617,0.020981923,0.013216862,1.00E-07,0.02445071,1.00E-07,0.020981923,-0.017512776,0.008756488,-2.409924347,0.049891074,0.122164425,-5.939757843,"35,870",0.913055246,13,1
Q96LZ7,RMDN2,0.805072591,2.521306027,4.92666475,0.800574715,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.663189309,1.00E-07,2.263404421,1.13170231,2.399921494,0.050599421,0.12366964,-5.954370697,"47,399",0.907736902,7,1
P18124,RPL7,0.030615344,0.101786935,0.125695352,0.124035544,0.158424242,0.149174052,0.136805079,0.148270152,0.143943688,0.112911239,0.148270152,-0.052635088,0.121850837,-2.392831485,0.051107809,0.124648589,-5.964726313,"29,226",0.904312632,22,1
Q96BY6,DOCK10,0.045683792,0.010077502,0.017582785,0.017370646,0.057531922,0.102934156,0.025198018,0.070736044,0.039070569,0.017476715,0.057531922,-0.041421354,0.043389358,-2.390888568,0.051248048,0.12489179,-5.967563827,"249,531",0.903466109,2,1
P26038,MSN,0.038911575,0.061357721,0.026747027,0.042702877,0.050051341,0.066192514,0.061304425,0.080176708,0.061957982,0.040807226,0.061957982,-0.022001447,0.053430523,-2.389476482,0.051350222,0.125107814,-5.96962601,"67,820",0.902715565,36,1
Q9NWQ8,PAG1,0.117444256,0.458510383,0.117508805,0.785259931,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0.288009594,1.00E-07,0.369680744,0.184840472,2.38816864,0.051445042,0.125239825,-5.971535895,"46,981",0.902257548,1,1
P55083,MFAP4,1.303351831,1.237029398,1.300892348,1.231953553,1.053294568,0.969589387,1.167695479,0.485659046,1.111597746,1.268960873,1.053294568,0.349247163,1.093683201,2.387756074,0.051474991,0.125279748,-5.972138366,"28,648",0.902119128,1,1
Q9HCK4,ROBO2,0.58402835,0.36493946,0.440219947,0.354295619,0.520654804,0.55254905,0.598596634,0.586611539,0.501117682,0.402579703,0.55254905,-0.128732163,0.500236925,-2.386541856,0.051563238,0.1254615,-5.973911456,"151,200",0.901489525,41,1
P13929,ENO3,0.100016861,0.113145861,0.110516432,0.11212677,0.170341029,0.157367186,0.148799613,0.101151795,0.183198567,0.111321601,0.157367186,-0.035463425,0.126683194,-2.382725498,0.051841627,0.126006226,-5.979484033,"46,987",0.899607997,18,1
P23471,PTPRZ1,0.517883332,0.494790637,0.695523607,0.583036708,0.87484748,0.757848254,0.729758519,0.597206763,0.676698366,0.55046002,0.729758519,-0.167106683,0.656361912,-2.381119122,0.051959271,0.126093287,-5.981829474,"254,587",0.899308035,21,1
Q9UJU6,DBNL,1.00E-07,1.00E-07,1.00E-07,0.002288899,1.00E-07,0.009013421,0.009023188,0.016801127,1.00E-07,1.00E-07,0.009013421,-0.008137159,0.004640879,-2.378985136,0.052115983,0.12641662,-5.984945117,"48,207",0.898195826,20,1
P08962,CD63,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0.357349186,2.800395475,0.803781487,0.978133332,0.355217761,1.00E-07,0.803781487,-1.23491477,0.617457485,-2.375137432,0.052399782,0.126962366,-5.990562368,"25,637",0.896324993,3,1
O94986,CEP152,0.167568527,1.00E-07,0.109858204,1.00E-07,0.306015384,0.314136518,0.106114665,0.644936018,0.105118648,0.054929152,0.306015384,-0.273443914,0.20607869,-2.374251605,0.052465346,0.127054632,-5.991855502,"195,626",0.896009497,4,1
Q14693,LPIN1,1.014480608,1.123854388,0.916237761,0.921857151,1.503501905,1.374144868,0.972715447,1.255817281,1.151616526,0.968168879,1.255817281,-0.282437398,1.135326176,-2.370796207,0.052721905,0.127475609,-5.99689941,"98,664",0.894572904,2,1
Q9Y5V0,ZNF706,0.360179239,0.782822394,0.775861793,0.768212472,1.022544949,0.857080959,0.957880026,0.866523309,0.97202739,0.772037133,0.957880026,-0.254238336,0.798888143,-2.367114493,0.052996696,0.128039575,-6.002273145,"8,498",0.892655775,1,1
Q9H0R4,HDHD2,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0.004627887,0.014601975,0.011692152,1.00E-07,1.00E-07,0.004627887,-0.007730429,0.003865314,-2.365955182,0.05308353,0.128179761,-6.003965129,"28,536",0.892180542,13,1
P10155,TROVE2,,,,,,,,,,,,-0.019096851,0.013829924,-2.365784723,0.05309631,0.128179761,-6.004213906,"60,671",0.892180542,,1
O76070,SNCG,0.00721442,1.00E-07,1.00E-07,0.007952381,0.081610477,1.00E-07,0.034111349,0.076471422,0.075281136,0.00360726,0.075281136,-0.044256587,0.025920044,-2.364643071,0.053181987,0.12835308,-6.005880055,"13,331",0.891593706,10,1
Q9UKG9,CROT,0.231301255,0.125945647,0.155939656,0.185924253,0.284160205,0.194758306,0.354941111,0.239021274,0.212594865,0.170931954,0.239021274,-0.093442522,0.221498963,-2.363020778,0.053303979,0.128613933,-6.008247565,"70,178",0.89071198,10,1
Q9NZR2,LRP1B,0.292306,0.247073214,0.218697584,0.241479475,0.634303915,0.198521748,0.493291137,0.698819815,0.391825757,0.244276345,0.493291137,-0.256345086,0.378061611,-2.362821368,0.053318994,0.128616599,-6.008538569,"515,498",0.89070298,11,1
Q01850,CDR2,1.00E-07,0.07384849,0.032717506,0.04780344,0.011209856,1.00E-07,1.00E-07,1.00E-07,0.299832973,0.040260473,1.00E-07,0.035789845,0.020697461,2.361420313,0.053424614,0.128837763,-6.010583113,"51,855",0.889956825,5,1
Q9BVK6,TMED9,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0.013527764,0.040135783,0.023661265,1.00E-07,0.020117414,1.00E-07,0.020117414,-0.019331128,0.009665664,-2.357413255,0.053727886,0.129434088,-6.016430097,"27,277",0.887951332,11,1
Q7RTN6,STRADA,0.774934865,0.464305858,0.591998871,0.876440513,0.986210634,1.068512689,1.147581925,0.710625362,1.040952728,0.683466868,1.040952728,-0.301312626,0.82757634,-2.354703235,0.053934,0.12986296,-6.02038408,"48,369",0.886514704,8,1
Q9NR31,SAR1A,0.054794489,0.063547273,0.000863153,0.016800093,0.041004375,0.096340444,0.088991923,0.141596777,0.080905635,0.035797291,0.088991923,-0.057982128,0.062992316,-2.354183025,0.053973659,0.129924616,-6.021143041,"22,367",0.886308559,9,1
Q15785,TOMM34,0.084010613,0.084400636,0.102280811,0.089759147,0.148564023,0.099649205,0.108911249,0.109435854,0.112430133,0.087079892,0.109435854,-0.026527281,0.103376442,-2.346077986,0.054595462,0.130937681,-6.032966302,"34,559",0.882935355,16,1
Q9NRX1,PNO1,0.210705295,0.157075459,0.214917701,0.232964752,0.2908138,0.262926761,0.258389848,0.211821874,0.263560274,0.212811498,0.262926761,-0.052072269,0.229951936,-2.327971867,0.056011396,0.133681304,-6.059367237,"27,924",0.873929327,14,1
Q99426,TBCB,0.02502931,0.170099937,0.131463301,0.070824878,0.180877611,0.205735099,0.1288022,0.232384811,0.262163657,0.101144089,0.205735099,-0.087595574,0.143152143,-2.326275489,0.056145983,0.133933375,-6.061839908,"27,326",0.873111186,13,1
Q12849,GRSF1,0.275794536,0.259953519,0.272241969,0.250133132,0.330575598,0.30057319,0.288161644,0.267979322,0.294732381,0.266097744,0.294732381,-0.032291649,0.280676614,-2.324203771,0.056310802,0.134291894,-6.064859476,"53,126",0.8719502,14,1
Q9C0H6,KLHL4,0.041947046,0.203279703,0.123091407,0.147563538,0.064493869,0.076190532,0.038191505,1.00E-07,0.116598841,0.135327472,0.064493869,0.084251422,0.086844712,2.322558921,0.056442015,0.134500741,-6.067256711,"80,245",0.871275324,20,1
P0C7U0,ELFN1,0.600098065,0.581017556,0.530839806,0.577247488,0.554151403,0.359533557,0.528428058,0.386127409,0.562506326,0.579132522,0.528428058,0.115240622,0.514680418,2.321313194,0.0565416,0.134668632,-6.06907216,"90,477",0.87073355,11,1
Q9Y343,SNX24,0.170545575,0.138489209,0.233694109,0.200022219,0.182546732,0.07464507,0.084408531,0.116778472,0.139941801,0.185283897,0.116778472,0.071093077,0.15014124,2.316295523,0.056944553,0.135419069,-6.076383758,"19,818",0.868320175,5,1
O43681,ASNA1,,,,,,,,,,,,-0.012891967,0.020982716,-2.307630297,0.057647413,0.136914456,-6.089007131,"38,793",0.863550695,,1
Q8TBM8,DNAJB14,0.022938756,0.319032774,0.054217304,1.00E-07,0.138494653,0.447461832,0.389286833,0.310785643,0.364925668,0.03857803,0.364925668,-0.222460007,0.210277237,-2.300929122,0.058197085,0.138020557,-6.098766307,"42,516",0.860056223,8,1
O14786,NRP1,0.766650902,0.859268855,0.683611941,0.813001284,0.584722787,0.777796825,0.651316439,0.587228649,0.649514463,0.789826093,0.649514463,0.13036707,0.71544971,2.296986148,0.05852303,0.138637954,-6.104507349,"103,134",0.858117861,8,1
A6NE02,BTBD17,1.105461707,1.109551801,1.063303937,1.115313335,1.218288396,1.192156986,1.092407391,1.155103874,1.185118752,1.107506754,1.185118752,-0.066081467,1.131448428,-2.296043381,0.058601241,0.138787673,-6.105879893,"52,471",0.857649105,8,1
Q9BRR6,ADPGK,0.026135862,0.038641711,0.037021069,0.003223943,0.055799824,0.046083972,0.038206108,0.044376178,0.048154313,0.031578466,0.046083972,-0.019860874,0.036186084,-2.292684671,0.058880753,0.139342576,-6.110769285,"54,089",0.855916164,13,1
P62826,RAN,0.048136064,0.05308417,0.048935728,0.047919797,0.063865924,0.057335685,0.04840535,0.059798911,0.064073412,0.048535896,0.059798911,-0.007832528,0.053435204,-2.285863799,0.059452614,0.140385291,-6.120696475,"24,423",0.852678394,14,1
O43166,SIPA1L1,0.468359663,0.480284122,0.530478726,0.400858072,0.214061065,0.379310309,0.412527291,0.401008384,0.331146412,0.474321892,0.379310309,0.118268384,0.410860954,2.285799709,0.059458014,0.140385291,-6.12078974,"200,029",0.852678394,11,1
O75489,NDUFS3,0.041477827,0.051149717,0.046121485,0.038388565,0.054142611,0.044912617,0.060190151,0.055874703,0.055384985,0.043799656,0.055384985,-0.009495622,0.04903221,-2.283014182,0.059693213,0.14086867,-6.124842959,"30,242",0.851185586,12,1
Q14244,MAP7,0.001736425,0.082438809,0.030749054,0.12296925,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.258961593,0.056593932,1.00E-07,0.059473285,0.029736742,2.282347928,0.059749611,0.140929821,-6.12581235,"84,052",0.850997098,6,1
Q9NVD7,PARVA,0.15530679,0.170829114,0.138715133,0.140506781,0.213363181,0.149841265,0.192957166,0.183534721,0.215978682,0.147906786,0.192957166,-0.033584629,0.168131769,-2.281666135,0.05980738,0.141030104,-6.126804319,"42,244",0.850688175,10,1
P61803,DAD1,0.074857993,0.079534985,0.066651922,0.036376848,0.12200386,0.092902153,0.12183645,0.066277879,0.058061814,0.070754958,0.092902153,-0.036399648,0.082555261,-2.27797516,0.060121121,0.141589373,-6.132173939,"12,497",0.84896934,5,1
Q9UI14,RABAC1,1.388345789,1.410930062,2.406147777,1.504470239,2.636542271,2.011664747,2.210302694,2.287245335,2.060140253,1.45770015,2.210302694,-0.608965295,1.981956114,-2.276254903,0.060267923,0.14189896,-6.134676251,"20,648",0.848020787,2,1
P84103,SRSF3,0.029790972,0.037791149,0.050499161,0.038676438,0.044165565,0.053417253,0.050783201,0.070383302,0.057832115,0.038233793,0.053417253,-0.0154979,0.04693838,-2.272931494,0.060552578,0.1424241,-6.139509965,"19,330",0.846416517,5,1
Q99569,PKP4,0.246217584,0.24223948,0.235456594,0.284700182,0.38221556,0.300741606,0.272818743,0.288245137,0.355480951,0.244228532,0.300741606,-0.058851802,0.281579361,-2.270727177,0.060742142,0.142761018,-6.142715602,"131,868",0.845390362,34,1
Q96R06,SPAG5,0.541968725,0.616698799,0.511253562,0.6740284,0.742502807,0.816920883,0.726372587,0.586758628,0.67679486,0.579333762,0.726372587,-0.132151355,0.652063049,-2.260541357,0.061626032,0.144544467,-6.157523941,"134,422",0.839998527,19,1
O95139,NDUFB6,1.00E-07,0.032411192,1.00E-07,1.00E-07,0.052115961,0.028608739,0.047142131,0.01182764,0.017452916,1.00E-07,0.028608739,-0.026820745,0.021513245,-2.258969836,0.061763573,0.144830332,-6.159807985,"15,489",0.839140474,6,1
Q01813,PFKP,0.068397238,0.068259976,0.072288637,0.066382947,0.097256295,0.082548407,0.065681878,0.089994314,0.08364729,0.068328607,0.08364729,-0.015038024,0.076351212,-2.252496717,0.062333435,0.145981495,-6.169214081,"85,596",0.835702194,30,1
P21741,MDK,3.660246517,3.998629793,2.623597528,7.226698149,2.277998812,2.139804913,2.26712725,2.168788901,1.035546796,3.829438155,2.168788901,2.163863028,3.295361483,2.251389306,0.062431465,0.146090865,-6.170822949,"15,585",0.83537694,6,1
P68371,TUBB4B,0.08513552,0.085228833,0.086908592,0.100996233,0.118887941,0.097359874,0.113099062,0.092777303,0.102665373,0.086068712,0.102665373,-0.015963751,0.09754917,-2.250960972,0.062469424,0.146090865,-6.171445215,"49,831",0.83537694,1,1
Q8IZ52,CHPF,0.878952326,0.696143587,0.550430543,0.555289781,1.05628639,0.8391409,1.06106681,0.719600513,0.890204046,0.625716684,0.890204046,-0.248819594,0.794613856,-2.250898769,0.062474938,0.146090865,-6.171535581,"85,467",0.83537694,13,1
Q6PL18,ATAD2,0.766889097,0.748102103,0.71187312,0.736572968,0.785186376,0.916053434,0.846705493,0.749280805,0.793212741,0.742337535,0.793212741,-0.083447205,0.782582924,-2.249851778,0.062567831,0.146197161,-6.173056544,"158,554",0.835061061,23,1
Q9Y3B3,TMED7,0.003914149,1.00E-07,0.007600812,1.00E-07,1.00E-07,0.037303098,0.061637241,0.025267168,0.035059709,0.001957124,0.035059709,-0.028173112,0.016965346,-2.248355478,0.062700834,0.146433925,-6.175230075,"25,172",0.834358297,8,1
P00367,GLUD1,0.011084703,0.007821644,0.0125423,1.00E-07,0.013687824,0.02165636,0.010375332,0.027363231,0.019760256,0.009453173,0.019760256,-0.0104085,0.013066437,-2.243812397,0.063106436,0.147232426,-6.181828318,"61,398",0.831996533,14,1
Q92667,AKAP1,0.310609649,0.326786618,0.210345524,0.283872931,0.541032327,0.371623659,0.321325364,0.369931158,0.441468353,0.29724129,0.371623659,-0.118074447,0.341940904,-2.238239453,0.063607655,0.148214812,-6.189920108,"97,342",0.829108392,22,1
P51553,IDH3G,1.00E-07,1.00E-07,0.001442712,1.00E-07,0.037359628,0.008944677,0.090706441,0.169261042,0.07830745,1.00E-07,0.07830745,-0.076207194,0.03846435,-2.236981044,0.063721396,0.148405045,-6.19174695,"42,794",0.828551334,10,1
Q86V81,ALYREF,0.041971263,0.048320687,0.041839243,0.042283329,0.063926875,0.06445666,0.038606343,0.072362719,0.065998922,0.042127296,0.06445666,-0.016234519,0.05172089,-2.230835099,0.064279897,0.149479862,-6.200667231,"26,888",0.825417312,12,1
Q13454,TUSC3,0.634947643,0.127214833,0.060790212,0.015954069,0.769880728,0.422525171,0.552293074,0.48793181,0.403884545,0.094002523,0.48793181,-0.348431006,0.383942193,-2.223155192,0.064984839,0.15092937,-6.211809558,"39,676",0.821226242,6,1
Q86Y07,VRK2,1.00E-07,1.00E-07,0.002805675,1.00E-07,0.026623236,0.116281563,0.060583518,0.006102331,0.058691858,1.00E-07,0.058691858,-0.051696169,0.026549578,-2.21990779,0.065285292,0.151513005,-6.216519534,"58,141",0.819550089,16,1
P14621,ACYP2,0.082084475,0.05445274,0.127737773,0.003101122,0.221530122,0.115836269,0.173134423,0.091905883,0.140146622,0.068268608,0.140146622,-0.083757647,0.108722851,-2.215845289,0.065663159,0.15231349,-6.222410446,"11,140",0.817261632,5,1
Q9P003,CNIH4,0.005947111,0.07968778,0.086215962,0.045760492,0.087557154,0.078409961,0.112612395,0.114001556,0.129523069,0.062724136,0.112612395,-0.04374243,0.076274051,-2.208102618,0.06638953,0.153536166,-6.233633877,"16,093",0.81378931,3,1
P09661,SNRPA1,0.03289711,0.039289358,0.044385268,0.033240995,0.054907231,0.040678833,0.060326298,0.04178697,0.059742052,0.036265177,0.054907231,-0.01197165,0.043439008,-2.205499898,0.066635539,0.15395201,-6.23740547,"28,416",0.812614636,13,1
Q86XK2,FBXO11,0.852921697,0.774249532,0.866436324,1.087659904,1.177584298,1.084051401,1.04624478,0.96182081,1.210242806,0.859679011,1.084051401,-0.172108458,0.981371093,-2.204447898,0.066735238,0.154142896,-6.238929746,"103,585",0.812076486,4,1
Q9P0V3,SH3BP4,0.135314996,0.136962743,0.144640407,0.143095997,0.164987545,0.27734368,0.218255367,0.148361171,0.21972164,0.14002937,0.218255367,-0.062233405,0.171120238,-2.202632638,0.06690763,0.154463908,-6.241559698,"107,496",0.811172983,27,1
O60476,MAN1A2,0.235389956,0.314315336,0.160975885,0.150047615,0.269049404,0.417102721,0.325271693,0.281152228,0.296432692,0.198182921,0.296432692,-0.107961814,0.269163105,-2.199719863,0.067185202,0.154834091,-6.245779105,"73,004",0.810133411,10,1
Q68D10,SPTY2D1,0.732983746,0.689149007,0.804531042,0.545581513,0.772951974,1.016275269,0.749043305,1.054729602,0.762569916,0.711066377,0.772951974,-0.20518871,0.795655682,-2.195850584,0.06755574,0.155422834,-6.25138288,"75,599",0.808485175,7,1
Q9Y624,F11R,0.149870143,0.123650777,0.127762452,0.15048003,0.221603901,0.205458361,0.232304513,0.119202731,0.211844558,0.138816298,0.211844558,-0.056701526,0.166291614,-2.195823554,0.067558336,0.155422834,-6.251422023,"32,583",0.808485175,8,1
O43852,CALU,0.052807899,0.03930291,0.067906293,0.056540176,0.08895028,0.065660405,0.061230459,0.07280321,0.055442084,0.054674037,0.065660405,-0.018021769,0.063150204,-2.1948677,0.067650196,0.155595452,-6.252806145,"37,107",0.808003102,23,1
Q8WXE9,STON2,0.167028241,0.129956872,0.175831735,0.181655048,0.204858264,0.216662434,0.174186569,0.186059455,0.221853979,0.171429988,0.204858264,-0.031823706,0.179529827,-2.193931529,0.067740289,0.155763918,-6.254161681,"101,165",0.807533139,16,1
Q4W5G0,TIGD2,0.080213448,0.052307458,1.00E-07,1.00E-07,0.143492182,0.096244449,0.145437727,0.030800257,0.254125628,0.026153779,0.143492182,-0.070863377,0.068561965,-2.187584787,0.068354303,0.157019598,-6.263349313,"59,623",0.804046138,9,1
P52198,RND2,1.702844203,0.530250037,0.531793706,2.449623392,1.411601794,3.062084903,3.046362092,2.918453782,2.438768054,1.117318955,2.918453782,-1.305997808,1.956626739,-2.184216301,0.068682487,0.157499572,-6.268224015,"25,369",0.802720623,6,1
P49748,ACADVL,0.039099594,0.01340746,0.061064252,0.006014424,0.059366089,0.077222954,0.03989947,0.069298,0.055623682,0.026253527,0.059366089,-0.031550196,0.04567153,-2.183370224,0.06876517,0.157650078,-6.269448241,"70,390",0.802305811,33,1
Q86XS8,RNF130,3.160089078,1.01582785,3.305803443,1.012942992,6.068690954,4.536704069,4.233041612,2.22930766,6.76517258,2.087958464,4.536704069,-2.143270233,3.195300957,-2.181048296,0.068992603,0.158093087,-6.272807583,"46,405",0.80108712,5,1
Q9H3N1,TMX1,0.04397188,0.046250402,0.056574971,0.078790277,1.00E-07,0.048531998,0.009625516,0.044562381,0.041896176,0.051412687,0.041896176,0.030716884,0.041038441,2.17606511,0.069483295,0.158981081,-6.28001541,"31,791",0.798654555,15,1
Q15008,PSMD6,0.052163937,0.052473543,0.045957198,0.050717607,0.076181434,0.058011719,0.063583641,0.050661235,0.067325997,0.051440772,0.063583641,-0.011781436,0.056218789,-2.165818785,0.070503436,0.160718632,-6.294828156,"45,531",0.793933774,32,1
Q8N9I0,SYT2,0.313586559,0.518138935,0.348936603,0.52755861,0.279230854,0.394661742,0.219644452,0.247335009,0.415767324,0.433537769,0.279230854,0.141837162,0.356136595,2.165137741,0.070571779,0.160834772,-6.295812335,"46,872",0.793620051,8,1
P28347,TEAD1,0.093453624,1.00E-07,1.00E-07,0.246424703,0.29048439,0.262813746,0.098114776,0.412750396,0.465816112,0.046726862,0.29048439,-0.181071195,0.175505229,-2.152361042,0.071866488,0.163583837,-6.314266973,"47,946",0.786259609,3,1
P84101,SERF2,1.531239159,0.255148033,0.878114175,0.252263175,2.850572128,1.101667846,2.30019426,1.109980145,2.565933214,0.566631104,2.30019426,-1.111412459,1.284897365,-2.151253339,0.071979866,0.163734751,-6.315866115,"6,900",0.785859135,2,1
Q6ZWT7,MBOAT2,5.977008925,3.922484277,6.476389195,5.590106036,4.696215052,4.100263134,3.863403732,4.457333975,6.419099507,5.783557481,4.457333975,1.212193135,4.885400541,2.148870873,0.072224337,0.164196267,-6.319305128,"59,527",0.78463672,2,1
P41214,EIF2D,0.019618888,1.00E-07,1.00E-07,1.00E-07,0.034269817,0.030082296,0.040839774,1.00E-07,1.00E-07,1.00E-07,0.030082296,-0.0213932,0.015601397,-2.147838032,0.072330581,0.164397383,-6.320795809,"64,706",0.7841051,12,1
P56556,NDUFA6,0.219249428,0.212954478,0.21470357,0.160294533,0.240630764,0.216070143,0.248540708,0.231170825,0.250769433,0.213829024,0.240630764,-0.032302608,0.217951806,-2.14703562,0.072413232,0.164544787,-6.321953833,"15,137",0.783715872,6,1
O75380,NDUFS6,0.042683893,0.049487157,0.049898841,0.011536565,0.073184452,0.055019813,0.133202989,0.059902904,0.070810903,0.046085525,0.070810903,-0.041925926,0.059364577,-2.145705256,0.072550474,0.164775652,-6.323873632,"13,712",0.783106961,6,1
Q7L5N7,LPCAT2,0.250426588,0.114544738,0.226578978,0.135991664,0.125073492,0.079686775,0.095106177,0.132730033,0.021661727,0.181285321,0.095106177,0.073736373,0.145017306,2.142743425,0.072856969,0.165431123,-6.32814704,"60,208",0.781382781,10,1
Q9UGP8,SEC63,0.008107622,0.031669376,0.023222038,0.016060508,0.033778834,0.023703386,0.031914067,0.03924616,0.0297743,0.019641273,0.031914067,-0.012395726,0.025962749,-2.136216604,0.07353702,0.166811404,-6.337560644,"87,997",0.777774261,37,1
P48382,RFX5,0.024110691,0.033549279,0.069922396,1.00E-07,0.007150549,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0.028829985,1.00E-07,0.030107904,0.016841664,2.128662693,0.074332126,0.16828473,-6.348449561,"65,323",0.77395529,10,1
Q9NSY0,NRBP2,1.00E-07,1.00E-07,1.00E-07,0.019632983,0.085759766,1.00E-07,0.057527703,0.031694385,0.089191222,1.00E-07,0.057527703,-0.038837168,0.024326905,-2.120776126,0.075171543,0.169935474,-6.359810915,"57,803",0.769715954,12,1
P20337,RAB3B,0.203839343,0.126226872,0.280939716,0.146259066,0.301052543,0.21954456,0.281151001,0.273711375,0.530986488,0.175049205,0.281151001,-0.07954862,0.22909056,-2.119938884,0.075261218,0.169961098,-6.361016609,"24,758",0.769650471,7,1
P53985,SLC16A1,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0.031700026,0.006176434,0.035503069,1.00E-07,1.00E-07,0.006176434,-0.018344807,0.009172504,-2.119640798,0.075293171,0.169961098,-6.361445856,"53,944",0.769650471,11,1
Q14126,DSG2,0.461141532,0.512934356,0.45695247,0.469703452,0.514971774,0.500082098,0.617404821,0.514274107,0.547085353,0.465422492,0.514971774,-0.061500247,0.505933076,-2.119201844,0.07534025,0.17002586,-6.362077936,"122,294",0.76948502,17,1
Q9ULI0,ATAD2B,0.037301085,0.053174168,0.025271382,0.014141298,0.038631442,0.062252543,0.04954502,0.062470539,0.061912,0.031286233,0.061912,-0.020752903,0.042848434,-2.11390343,0.07591087,0.171188269,-6.36970565,"164,914",0.766525999,42,1
