PG.ProteinGroups,PG.Genes_x,Log2_x,PG.Genes_y,Log2_y
Q9NXG2,THUMPD1,-11.9966252771549,NA,NA
Q9H3P7,ACBD3,-6.66563619382076,NA,NA
Q9HCM3,KIAA1549,-4.26010637853744,KIAA1549,-2.90071430910126
Q9HAT8,PELI2,-4.30680028272292,PELI2,-3.14836193581213
Q92845,KIFAP3,-3.89605920804386,KIFAP3,-2.83740501193351
O43854,EDIL3,-9.4082272803794,NA,NA
Q15643,TRIP11,-5.20659104437158,NA,NA
O94766,B3GAT3,-4.1532482393139105,B3GAT3,-3.4765587763433
O00429,DNM1L,-12.9381798711241,NA,NA
Q9NR28,DIABLO,-5.88311297340479,NA,NA
P31150,GDI1,-8.12265480140866,NA,NA
Q59EK9,RUNDC3A,-4.95847764614965,RUNDC3A,-3.72815254275544
Q5JRA6,MIA3,-5.20962231383429,NA,NA
Q15067,ACOX1,-5.3407963675051295,ACOX1,-5.00864640142928
P30040,ERP29,-5.2084846994019,ERP29,-4.94014895257962
P0CK96,SLC35E2B,-1.022859776492,SLC35E2B,-0.648670543643107
Q9UPV7,PHF24,-11.2250965282436,NA,NA
P09874,PARP1,-11.3336330602667,NA,NA
Q9NS86,LANCL2,-6.545927874837529,LANCL2,-7.20270931655984
Q9BSV6,TSEN34,-4.24934335443932,TSEN34,-2.14389539301838
Q7Z7L7,ZER1,-4.0086836291234,NA,NA
Q86WA8,LONP2,-5.45755187983302,LONP2,-4.78461353698312
Q13310,PABPC4,-9.80169901445217,PABPC4,-8.5660311436001
P49458,SRP9,-4.16400183857351,SRP9,-3.59141883610578
Q13242,SRSF9,-8.50846149757053,NA,NA
P53990,IST1,-11.423275239426,NA,NA
Q96A83,COL26A1,-12.7956711579323,NA,NA
Q15631,TSN,-5.629959790090431,TSN,-4.73060552994804
Q9UKG1,APPL1,-5.8674566613733905,NA,NA
Q8TBP6,SLC25A40,-6.69464490688431,NA,NA
O14576,DYNC1I1,-5.8131813059547905,NA,NA
O60299,LZTS3,-2.61524770125118,NA,NA
Q15120,PDK3,-4.36265402188697,NA,NA
Q9Y5X1,SNX9,-5.94171204064302,NA,NA
O43155,FLRT2,-2.847234706177,NA,NA
Q9UBI9,HECA,-4.36296671796964,HECA,-4.54428356641841
Q8IYT2,CMTR2,-1.14266774504397,NA,NA
O00213,APBB1,-3.17111054971373,APBB1,-2.93491249417893
P04843,RPN1,-5.79838615535844,NA,NA
P17612,PRKACA,-9.568919920297299,PRKACA,-8.077622885565791
Q08629,SPOCK1,-2.82643539277215,SPOCK1,-2.11630356303214
P61916,NPC2,-8.92668390955924,NA,NA
P78344,EIF4G2,-12.3631921332298,NA,NA
Q8NEY1,NAV1,-4.24959685720864,NAV1,-4.9130861610094305
Q8IXT5,RBM12B,-11.6980383574518,NA,NA
P98172,EFNB1,-6.36357225333351,NA,NA
Q99567,NUP88,-6.78134612388054,NA,NA
Q6F5E8,CARMIL2,-7.1640887290186495,NA,NA
Q6KCM7,SLC25A25,3.8360027918221,NA,NA
P54756,EPHA5,-0.511684577815611,NA,NA
Q92997,DVL3,-11.0753302242705,NA,NA
Q96SU4,OSBPL9,-4.54339514291027,OSBPL9,-3.9096934688766
O95373,IPO7,-12.4792873995082,NA,NA
Q9NW61,PLEKHJ1,1.07568459127746,NA,NA
Q9UBF2,COPG2,-6.47325533583616,COPG2,-6.1997983872966
Q9GZT9,EGLN1,-4.9066288071886,NA,NA
Q14108,SCARB2,-5.40950269604198,SCARB2,-5.10486520032634
Q9NUM4,TMEM106B,-2.71922260832325,TMEM106B,-2.54561437240186
Q9UNF0,PACSIN2,-5.934936587156,PACSIN2,-5.5729253060302
Q8NEZ5,FBXO22,-5.9502322523488,FBXO22,-4.67569565969628
Q9BW62,KATNAL1,-9.74399627340143,NA,NA
Q12955,ANK3,-11.1123588856774,NA,NA
Q9UQ80,PA2G4,-12.3976586665402,NA,NA
Q14576,ELAVL3,-7.490829860284419,NA,NA
A8MW92,PHF20L1,-4.89700531451594,NA,NA
Q9P2Q2,FRMD4A,-7.672484216279821,FRMD4A,-4.32914076353109
Q8IVU1,IGDCC3,-4.94762145594938,IGDCC3,-3.22295816685203
Q2NKJ3,CTC1,-0.423214715148996,NA,NA
Q99569,PKP4,-3.12014866428695,NA,NA
P63151,PPP2R2A,-4.75944842424276,NA,NA
Q6N022,TENM4,-10.4235415555726,TENM4,-10.3069149966224
Q9UPU3,SORCS3,-3.53075997838878,SORCS3,-2.73984105874834
P17706,PTPN2,-2.75279524643042,NA,NA
Q96EZ8,MCRS1,-3.26013089504944,NA,NA
P09001,MRPL3,-3.18256900540812,NA,NA
Q9UKV8,AGO2,-12.5307041325149,NA,NA
Q96ST3,SIN3A,-4.6694241992301295,SIN3A,-3.57558898398528
O14522,PTPRT,-4.44367160909015,PTPRT,-3.3421126441117
Q6ZSY5,PPP1R3F,-5.15117181412174,PPP1R3F,-4.81095481671546
Q9H1B7,IRF2BPL,-4.81910244009915,IRF2BPL,-3.86365280470662
P53999,SUB1,-8.599602507906889,SUB1,-8.61270430368637
P06241,FYN,-5.06064800126613,NA,NA
Q9NYB0,TERF2IP,-5.14318076096072,TERF2IP,-5.1525882711069
