PG.ProteinGroups,P150
Q9NRL3,-4.24105892867128
Q8WVM0,-2.56973599460826
P62829,-2.40248993171032
Q96KA5,-4.93351218649042
P35249,-1.30324667254465
Q9H9T3,-4.86167509228948
Q96EC8,-1.3663296496174
Q8WUA2,-3.43890147445518
P98170,-3.38223655009077
Q15208,-3.87189254830867
Q15102,-6.30277000076837
Q2V2M9,-2.35667164571423
P23193,-3.31684501055268
Q9C0J8,-3.56945850628951
Q9Y4H2,-2.68565910697698
Q8N568,-4.86551221487287
Q6NUM9,-3.71404117340462
Q8WX77,-3.9236648887502
Q96S55,-4.22791170583356
Q658Y4,-4.97421212632799
O95182,-7.82379466929557
Q92953,-3.67355722882126
O95155,-4.43436699027609
Q9BVL2,-6.92584942945491
P48051,-3.11396785603772
Q9BXQ6,-3.59758254751097
Q5EBL8,-14.0256642482669
O15160,-7.35874476295853
P07858,-5.84601479055832
Q15560,-2.21273198888244
Q9P265,-6.09936579633474
P01112,-23.2534966642115
P19086,-5.54927541924953
Q9Y5Z7,-2.54546435302696
Q12931,-8.25342971555813
Q9P2S2,-3.11256362745747
P00441,-6.50747968046493
Q9H6T3,-3.084496821515
O75153,-5.46305304393016
P56211,-3.94889975764644
Q86SK9,-2.95380133840135
Q17R31,-4.83855769063751
Q9NPZ5,-4.00425174435296
Q9P0J1,-3.99721264513855
Q9BTC8,-3.4033065936425
Q9UFN0,-11.939334135032
Q96SB4,-2.02537535816467
P52272,-7.94041647532415
P51148,-3.91452298581652
P19784,-5.49199892015127
P60660,-4.21241031123592
Q9UPN6,-2.88028550146614
Q8WU79,-3.71197991383634
O75054,-7.31325496576243
Q01804,-0.907184757912453
P20338,-4.87092652208828
Q9Y6G5,-5.05378423553656
P49116,-2.75158332619692
Q9NR80,-4.01182143364476
Q9NYJ8,-3.84270735732982
P31930,-5.69162138182639
Q96NI6,-3.83055954548228
Q6RFH5,-3.95068681147829
Q9C0C4,-6.44095210480578
Q7L592,-14.8234754182291
Q9UPT6,-7.91522105694499
Q86UA1,-4.64988522092594
O95486,-4.53266985516608
O00522,-5.39759999842435
Q02878,-5.95208959890731
Q9NVS2,-6.36627508712129
Q9NWQ8,-3.12013715178198
Q15070,0.0421415647523087
Q9H1Z4,-4.07876396313902
P46379,-3.82495556844875
Q6IA86,-4.26785729726393
O15164,-2.24111753967449
P49641,-3.1934062217319
Q5RI15,-5.32067747681151
P31629,-2.73236805868818
Q9NZC7,-0.758917032755959
Q8NBJ4,-3.45972307709599
Q9Y5F9,-4.67583069421468
P00387,-5.52562890176294
Q9Y250,-3.76603713395541
O14531,-7.82864300182893
Q5JTZ9,-4.61526553078226
O95168,-2.33149274250437
O95573,-7.57146676495957
Q9BY67,-3.23905369253854
Q9ULP9,-5.39298643408136
Q9C0E8,-5.94020842716635
Q2M389,-7.07126148982849
P51452,-4.39438816316551
O94829,-3.49908566196471
P25098,-5.23878555052194
Q9UGJ1,-3.64996947856628
Q8N8U2,-4.19491567207065
P78310,-8.12105648055431
P42166,-23.2534966642115
P78417,-6.97226140459563
O60264,-8.51716927591703
Q9P0J0,-5.38256774007851
O43405,-2.15468763461383
Q16762,-1.06892331526757
Q6ZSZ5,-4.77681607323846
Q96FJ0,-3.55939662321893
O75037,-6.05828935903886
Q9UJX6,-5.02958500163401
Q6L8Q7,-5.87122129007567
O60701,-4.83706096740979
Q15631,-4.73060552994804
Q96QR8,-10.6443806986466
Q9BXS5,-6.16432093770187
Q13685,-12.075989288171
Q96GM5,-4.71994697072906
Q8TF61,-4.55128679568589
Q86UN2,-12.0518662193585
Q6ZRP7,-2.84456736591726
P46019,-23.2534966642115
Q5VUB5,-10.4536803703549
P62993,-5.56955421309983
Q9UM73,-4.11124854258931
O15027,-4.48465135839502
