PG.ProteinGroups,P0,P50
O75347,-11.8292984502848,-7.48625045996906
Q86X27,-3.86209935351781,-2.71476207539102
Q8N1B4,-23.2534966642115,-4.81982855613371
Q12824,-6.19675153216728,-3.77394218925916
Q8WXF1,-13.0057240036973,-6.25268266794741
P07738,-11.5430084611915,-7.02599067405163
P10586,-11.4511226767038,-4.29007588749401
Q99856,-23.2534966642115,-4.33478066866745
Q9BQ39,-13.7751566244206,-5.41796226276721
Q9NWS8,-3.99711168109889,-13.604167107973
Q15717,-11.3666960818115,-5.26716097595115
Q6P1X6,-10.894823656036,-5.84349369734319
Q9BXB4,-8.73272736083073,-4.09326621328532
Q9C0C2,-11.3955411220224,-5.55840138795203
Q5JSZ5,-13.2299576110275,-3.91986407959748
Q15048,-10.0830352970688,-4.97808162088447
Q96GD3,-13.2934660895897,-1.13329675527318
P59998,-9.73167902939797,-6.14975605735841
Q6NUM9,-11.421068495214,-5.41168081923534
P36578,-11.3274333526829,-6.78691767083283
Q8IXQ5,-4.79558128010493,-2.74139742897418
O00170,-9.94626973776193,-4.81018866477953
Q9H4L4,-9.68989523015968,-4.13217811914509
Q9BWE0,-23.2534966642115,-1.79840595100215
P14416,-11.79283332243,-4.61450564978733
P30876,-23.2534966642115,-5.2654024648018
O00743,-23.2534966642115,-5.97423624358729
Q9H3P7,-23.2534966642115,-6.66563619382076
Q13003,-2.07754754820707,-23.2534966642115
Q9HCM3,-14.5090217552294,-4.26010637853744
Q9HAT8,-16.4687069593868,-4.30680028272292
Q92845,-13.6164983983933,-3.89605920804386
Q15643,-11.4375479149797,-5.20659104437158
O94766,-13.275174134217,-4.15324823931391
Q92562,-5.20642079088241,-11.1148727170855
P78324,-2.63305768478578,-3.59273223926613
Q9NR28,-13.5937274170471,-5.88311297340479
P31150,-23.2534966642115,-8.12265480140866
Q59EK9,-17.3571197760035,-4.95847764614965
Q5JRA6,-17.7012436495353,-5.20962231383429
Q15067,-13.3825022852898,-5.34079636750513
P30040,-23.2534966642115,-5.2084846994019
P0CK96,-1.97699496924129,-1.022859776492
Q9UFN0,-5.98137958207699,-12.945740641146
Q9NS86,-13.0001734533873,-6.54592787483753
Q9BSV6,-7.44924196598326,-4.24934335443932
Q7Z7L7,-13.1527907066029,-4.0086836291234
Q86WA8,-23.2534966642115,-5.45755187983302
Q9Y4W2,-8.19123212771022,-13.3297496233817
P49458,-23.2534966642115,-4.16400183857351
Q13242,-23.2534966642115,-8.50846149757053
Q15631,-9.34066650683627,-5.62995979009043
Q9UKG1,-8.13064008281412,-5.86745666137339
Q8TBP6,-12.0733153603058,-6.69464490688431
O14576,-10.930426570962,-5.81318130595479
O60299,-12.4677718701305,-2.61524770125118
Q15120,-11.9505278433025,-4.36265402188697
Q96DM3,-1.36915718734513,-1.93987218980273
Q9Y5X1,-23.2534966642115,-5.94171204064302
Q14534,-4.53033478738243,-12.7054545418123
O43155,-23.2534966642115,-2.847234706177
Q9UBI9,-13.760852038566,-4.36296671796964
Q8IYT2,-13.0762208044041,-1.14266774504397
O00213,-13.0203096382727,-3.17111054971373
P04843,-11.6626609068028,-5.79838615535844
Q08629,-13.129011681603,-2.82643539277215
P61916,-13.0689755213071,-8.92668390955924
Q8NEY1,-11.7942444500874,-4.24959685720864
P98172,-23.2534966642115,-6.36357225333351
P98179,-2.84062753731546,-4.56271800839451
Q99567,-12.0620195947394,-6.78134612388054
Q6F5E8,-23.2534966642115,-7.16408872901865
Q6KCM7,2.54023974226028,3.83600279182212
P54756,-2.73064601693879,-0.511684577815611
Q96SU4,-12.5783893873136,-4.54339514291027
Q9NW61,0.0813638270479647,1.07568459127746
Q9UBF2,-12.4835740160599,-6.47325533583616
Q9GZT9,-23.2534966642115,-4.9066288071886
Q14108,-23.2534966642115,-5.40950269604198
Q9NUM4,-4.33724602216665,-2.71922260832325
Q9UNF0,-16.5408002968538,-5.934936587156
Q8NEZ5,-23.2534966642115,-5.9502322523488
Q14576,-23.2534966642115,-7.49082986028442
A8MW92,-12.8694861890318,-4.89700531451594
Q9P2Q2,-23.2534966642115,-7.67248421627982
Q8IVU1,-13.9425622837446,-4.94762145594938
Q2NKJ3,-1.12059570135345,-0.423214715148996
Q99569,-11.8996558182207,-3.12014866428695
P63151,-11.5962255841537,-4.75944842424276
Q9UPU3,-5.1243524546853,-3.53075997838878
P17706,-5.41466822400543,-2.75279524643042
Q96EZ8,-13.6046136552338,-3.26013089504944
P09001,-7.46101791446636,-3.18256900540812
Q96ST3,-11.6990971840319,-4.66942419923013
O14522,-13.5123475654718,-4.44367160909015
Q6ZSY5,-12.0266310436704,-5.15117181412174
Q9H1B7,-17.1146123127835,-4.81910244009915
P53999,-13.4061146709556,-8.59960250790689
P06241,-12.4684841045962,-5.06064800126613
Q9NYB0,-14.8904636606101,-5.14318076096072
O15027,-15.8976866953263,-5.24532979454219
Q08379,-23.2534966642115,-4.4529485994653
O14782,-23.2534966642115,-1.04288136898592
O60216,-12.6868683004809,-5.53321134239072
Q9NRG7,-23.2534966642115,-6.55202448419215
Q8IZD9,-12.9553581787282,-5.83099988914008
O60858,-7.61766044890947,-3.87519149729089
O14733,-9.06528687586146,-3.00617382706273
Q8N5H7,-12.2143791927228,-3.21478068693891
Q8NFD5,-12.8476698264701,-3.7851763355511
Q9UKA4,-11.4267907977056,-3.66001778633457
O75427,-13.8035778308839,-5.80039944730138
P55209,-12.9876063304216,-5.48392696472443
Q8IXV7,-23.2534966642115,-4.71144463666807
P78310,-12.074757721551,-7.40558847721584
O00571,-23.2534966642115,-4.49355298112197
P32322,-12.7392283969103,-5.30272243604995
Q8N5C8,-12.5078406618184,-3.85389531330896
Q9Y2G5,-2.93219867848893,-2.09045517625463
Q99523,-4.63072678488966,-0.96764018279617
P07437,-11.576461065687,-7.60312521759646
Q92900,-16.9287112421911,-8.63239062573054
Q9BTY2,-4.84970462892776,-14.3190371086819
P30048,-16.5074383260676,-6.31006555109661
Q10471,-6.54139841493819,-3.6700868016593
Q9ULP9,-13.478340716856,-7.20734298904544
Q9H5H4,-23.2534966642115,-4.46908973794716
Q9BYP7,-18.4165578485222,-5.96084955411311
P51692,-5.94894638933722,-2.533489240993
P30533,-23.2534966642115,-5.1294747342016
P10768,-15.7074951091225,-7.71678289517992
Q9NQX7,-12.2639460387707,-4.38659381477062
Q92609,-7.14958591861708,-3.34737341572812
P49736,-3.4505534111927,-5.2819680777961
Q9NUS5,-23.2534966642115,-5.35775773411935
Q92734,-6.91315100462417,-5.18919573743272
O60716,-13.7552725184085,-5.51368163363183
Q5TCY1,-12.6095031788517,-4.45713316891901
Q9UG63,-14.6885366979312,-5.08953469395147
O94991,-12.7730004967652,-3.32515582472952
Q15070,-23.2534966642115,0.0277568572185903
O14964,-17.1674130644092,-8.79393016557313
Q9BYT3,-6.49381449105505,-3.83207830413667
Q15393,-12.7901988163783,-6.35588184229217
Q96E11,-7.69360210075793,-6.08789093037592
O00192,-12.8773615374857,-5.11020484420869
Q8IUR7,-12.9967063510015,-6.11112218692752
Q8TEY7,-6.14919716731456,-3.43453991150935
Q6IAA8,-23.2534966642115,-5.6236780865893
Q9BXS5,-23.2534966642115,-6.31132308655046
Q969Q5,-8.30930252467953,-4.52790548731001
P46109,-14.8478727152055,-7.69542808158175
Q06210,-11.6430902667168,-5.15900234208803
Q3KQU3,-16.6695047766724,-6.82949934042915
O14763,-4.42044336806463,-3.17013490657736
Q96N64,-11.8151717701644,-5.27645330462348
Q13115,-7.48602113456216E-05,-23.2534966642115
Q7Z7F0,-23.2534966642115,-0.000165500293995565
Q13685,-6.80265888331328E-05,-11.0143082733487
Q9BXI6,-3.71838505868483,-23.2534966642115
O95983,-15.8183619826675,-4.74107201847988
Q9UJC5,-23.2534966642115,-8.55525611145813
O43572,-15.1288632552723,-4.31899729034253
Q9UHG3,-16.196565460186,-6.12607580896037
Q7L3T8,-12.0881134807071,-4.44861516045797
Q8TDN4,-3.15240952206671,-1.53832152743452
Q674X7,-23.2534966642115,-4.64542930202201
Q13480,-5.56706645599643,-15.0758942161066
Q8IYS1,-23.2534966642115,0.598824377811823
Q15633,-2.07090274402118,-23.2534966642115
P40692,-12.514066933021,-6.4796894879934
Q6ZT07,-18.4484818405448,-3.66679803145119
P52803,-17.376649794288,-3.94517517127052
O95057,-13.5125807198489,-6.66303444144544
Q92759,-12.5219942932804,-6.43154858827586
Q9HBU6,-17.9428022799732,-3.10073940550088
O95639,-5.16805217085981,-3.86140618549143
Q96HS1,-9.07526708071589,-6.95525593428501
P11717,-21.476457352815,-6.51076632915864
P17405,-8.99457584153666,-5.83238470373935
P35237,-4.429060619536,-3.54373852512768
O95025,-0.0610525680951574,-13.8686330129627
Q7LBC6,-15.539237244836,-4.89134688135337
P35232,-12.3544305825635,-7.37959231516257
Q7Z5J4,-11.9086306578988,-5.58854554443287
Q9Y6E2,-13.1334786668655,-5.36873141315988
Q86U90,-14.607518141103,-6.53336771264564
Q9NUJ3,-13.8580712939046,-4.83315788512098
Q92841,-17.0238201381848,-7.70687395029509
Q9BTC8,-7.6772034355518,-4.92783000975455
P35637,-23.2534966642115,-5.11924447935997
Q96GD0,-23.2534966642115,-6.49992400751581
Q9Y2I8,-17.1347664165525,-5.6747894786888
P18206,-4.13208874012901,-11.6685110846008
O75688,-12.8262444163398,-5.39766150649873
Q9Y5X2,-5.20904981836658,-23.2534966642115
Q15061,-23.2534966642115,-4.04746437812741
P22314,-14.831992094728,-7.79713915502238
Q6PIJ6,-12.834933809605,-4.17005100531479
Q9ULJ7,-14.1208129120426,-6.2656070421022
Q15025,3.3936368995068,-3.41854820965268
O95405,-11.7926757718861,-3.23183292079015
Q9Y5B8,-13.052829875377,-5.01772681997034
P09211,-23.2534966642115,-7.84660923633653
O96000,-23.2534966642115,-4.43566617764543
Q12767,-16.0637183254164,-6.26708501663209
Q9NS40,-13.5339097995794,-4.0371898376445
Q92541,-15.0889025736537,-4.22041522477892
Q9UI36,-10.5422572472054,-5.25936876171023
Q330K2,-13.0508008921893,-5.50739373888251
O76071,-1.69160237127054,-3.4632348944297
Q9H270,-12.0834769278411,-6.59852078977935
Q5TEA3,-15.9822253944169,-3.62755046463987
P51805,-15.5533925497812,-5.67916817359189
