PG.ProteinGroups,P300_24
O60336,-3.71771459483598
Q9UPU7,-3.90308666386138
P10588,-3.76111974855467
Q9UFF9,-4.35702673695114
P80303,-2.31054353430758
P13489,-5.82725498292767
Q8NI27,-6.15651954928469
P15822,-2.00084467688814
Q12756,-5.26179083771016
Q9BZG1,-10.7812888129599
P52848,-4.00086219448221
Q8TDI0,-1.17374453493509
A8MXV4,-4.50110269849703
Q8NFJ6,-2.56039866066435
Q13191,-5.11448149338455
Q9P278,-5.57246984862953
Q8NC60,-5.6633673786448
Q9UN75,-3.90460021335351
P24928,-5.23213195526117
O76024,-2.82600056752702
Q7KZ85,-6.16440266893868
Q99569,-3.07872527940633
Q16585,-2.9708485950395
O14525,-4.82557992000894
Q15032,-5.0021465960439
P17706,-2.68856367823243
Q9H2V7,-4.36036193290568
Q99504,-2.24043918117651
Q9H4A3,-3.88277966719327
Q9HB40,-5.3672663153948
P46379,-3.8668162700255
Q9BWL3,-0.809351071317448
Q9NY27,-4.44262352254337
Q2TBE0,-2.9906892976177
O43318,-4.46491661275159
Q9BTE6,-8.37081061998294
Q8NBI6,-4.12399119127281
Q06455,-1.31887348057468
Q8IWI9,-4.41415582605696
Q9BY67,-4.45643076421188
O00267,-3.93222813651909
P42892,-2.4374436241254
Q13685,-11.6358396223688
Q7Z5N4,-3.21791658608619
O75385,-2.42820219648813
P46019,-20.9869012399769
A6NNY8,-4.22792067147457
Q9H871,1.45762497166746
Q8IYR6,-4.00733559878563
P78310,-8.12175233246004
Q9H000,-23.2534966642115
P42224,-5.42057100706728
Q5TGY3,-3.40160561431272
Q96A35,-4.80257145074727
Q6PD62,-5.88360461785864
P63244,-6.04684152512827
Q32P41,-6.75361667910268
Q5W0V3,-8.24550419879724
P33991,-2.9942236795961
O95025,-23.2534966642115
P35232,-7.31584670237697
Q15633,-23.2534966642115
Q8TDM6,-6.13074303300843
Q8N474,-1.55330247083009
Q96DE0,-4.92702430123845
O75530,-4.02380836250238
Q9Y5X2,-16.4336166428157
Q9NWU1,-5.57528441590492
Q9H5H4,-4.2456539837375
P04156,-3.78890891110278
Q9H999,-0.774651578187296
Q9HCJ6,-15.1217766962417
Q13126,-7.53859943333778
Q96HI0,-3.50376993716075
O14686,-3.16153113248451
O14640,-0.707227187709247
Q9BQT9,-2.51272886636795
P18206,-10.6981210269012
P15882,-8.35972084333393
O60828,-3.70771794403525
Q86VP3,-6.25710115683727
Q86YD1,-3.18339690538482
Q9H4E7,-0.780361692217384
Q16762,-0.976642650063521
Q969T9,-6.77286068362783
Q8IVW6,-3.03655714268205
Q16827,-3.0139572816145
Q76KP1,-3.30113120378643
Q9UL54,-5.03056492069971
Q99873,-6.78889393601736
Q2TAY7,-6.19460423061204
Q9P0K9,3.85350817984687
Q92871,-5.42996265775697
Q9HAK2,-2.79595527305226
Q9BRJ6,-6.40413491491171
Q12824,-2.96886593474022
Q68D91,-5.5142065363782
O15027,-4.4124383536278
Q8IWT3,-5.41774815732519
Q58EX2,-4.50079511355065
P19838,-4.30489919492291
Q9BYV9,-3.1489677830435
Q02127,-5.69800702277944
Q9HA65,-4.85604128084695
P98179,-3.99761705293868
Q15648,-8.47129644249313
Q5JU85,-2.11622578080178
Q9NUM4,-2.86548450087923
O43920,-5.46601063729652
Q9Y6Y0,-5.11854296764739
Q86TG7,-3.04085231378709
Q8WYK1,-3.40237269509389
Q8TB45,-5.34404900554421
P13611,-1.70464168502401
P50148,-6.01801256571183
Q9H6V9,-7.19628159348966
Q9Y5F7,-1.56073199958787
Q86XP3,-4.43497035319323
Q8NB37,-3.69092569702668
O95180,-4.22641103118857
Q5MIZ7,-2.79726130012363
Q9NV31,-3.50337537303322
Q99856,-3.53987916696658
Q8N4S0,-3.05750621508077
Q9NRG4,-3.80419925565564
Q8N8L6,-2.93102564319789
Q969R8,0.76073487130462
P23470,-3.61570361834445
Q86UU1,-4.59410200138678
Q96PB7,-2.42965010375879
Q9C0H9,-8.05838622065663
Q8NEZ4,-23.2534966642115
Q5TEA3,-3.15663528258882
O75663,-5.00223827815439
Q9Y312,-6.26033293089201
Q14241,-3.36575823536771
Q13586,-5.5414722898687
Q9H444,-4.92838512553891
Q13772,-2.35318315753813
Q9NRJ4,-2.12344228561146
Q13838,-3.79730891915787
Q86VP1,-2.78663375213081
Q9BRJ7,-4.91507866233683
Q9ULK4,-4.77689048073663
O95487,-6.09494466303267
Q8N1F7,-7.76376055037181
Q5SYC1,-4.5546810595325
P17252,-7.50870265427544
Q96MY1,-2.26699688305586
Q15650,-3.42233457629757
P02787,-8.41054294972357
Q8WXI2,-7.36290181588181
Q14004,-1.89305403047205
Q8NEM7,-2.75944332157541
Q02543,-5.63416094860284
Q9P2K5,-7.39606037230295
O43151,-2.1684913245426
Q8IZ73,-23.2534966642115
P19388,-7.00349092193332
Q9HD20,-7.52109447783765
Q96S52,-6.42182835849819
Q96EK2,-3.76489811752886
Q99797,-7.02869399084954
Q00013,-6.71400326998884
O00192,-4.0075682818804
P21912,-16.4512878818361
Q86WB0,-6.05376401777561
Q16740,-23.2534966642115
Q09472,-6.15186970108413
Q8TDC3,-5.60245080568319
Q8IYQ7,-6.74610127254976
O95602,-4.96159741748618
Q86V21,-3.09441534503766
P48729,-3.4147214115057
Q68CP9,-5.56998239278009
Q96NI6,-4.68267679875074
O60315,-3.76046079592602
Q86UN3,-3.59472199783321
O15379,-4.86141255534303
Q14671,-3.75578297945351
P27144,-8.5404481012205
Q68DH5,-13.7448501204459
O43741,-12.7841829128337
Q5EBL8,-4.15819514285448
Q9UMS4,-5.6388723009398
Q9BRP4,-3.19518029825043
Q96JQ0,-3.3503213360153
Q9Y2S2,-15.8973427196384
O95759,-4.52910654189542
P41227,-8.28805815097633
Q9P2R6,-2.7471213549773
Q15006,-2.38213588005619
Q9UI10,-5.61521585776601
O15066,-10.2882120345596
Q15560,-1.8793554838337
O94901,-4.89653637170727
Q9UGN5,-1.80693684124527
Q0VG06,-4.29593101422689
P11413,-5.94779788354096
Q5TCY1,-3.58401402576184
Q8NC69,-1.1580072336459
P54105,-5.57629578436868
Q08345,-4.25821220845257
Q0PNE2,-2.05090274987045
P36896,-2.96010372051234
Q9BSF8,-1.8720600233616
P04083,-11.6824907161386
Q7L3B6,-0.613184111948404
Q96PZ0,-6.14147394511665
Q16647,-4.48341222988635
O14979,-8.60277362795719
Q2V2M9,-2.70160021957345
O95502,-5.50494918014401
Q9Y5Z7,-2.33394726643813
Q9NRN7,-4.03855180008257
P49458,-4.2344163700125
Q12765,-5.5943731848452
Q9Y4X4,-2.87089494835865
Q13501,0.192055317920794
Q9UGU5,-2.6545691359811
Q9NVQ4,-3.77373716986818
O95714,-5.10240806258161
Q9UQ16,-7.40525182169304
O95319,-4.54974272924816
Q9UH65,-2.70605410044457
Q9BVN2,-2.94052012823635
Q8TF05,-6.97735963902901
Q9UJY4,-2.72904761912047
Q8TAD8,-3.75142775467905
P07949,-3.14837670021467
P07858,-5.50268760613733
Q9Y5X1,-6.28698519234913
P30533,-4.69734554471675
P61962,-6.3878027518124
P08243,-5.89459915470181
Q9NT99,-4.14461249389681
Q86YW9,-23.2534966642115
O00222,-2.26521410614103
Q96EP1,-2.95687567829298
Q9H706,-6.08687609324627
Q6DKK2,2.97584453145919
Q7Z4H3,-6.01817556986098
P13647,-23.2534966642115
Q76I76,-3.61072416218349
P35080,-8.27300565990101
O95772,-8.08092766091012
P42695,-1.45667218136411
O60716,-4.35903593032793
O60299,-1.32544551825017
O14782,-1.64462495038754
Q5SZQ8,-5.09855207133127
Q8NCB2,-5.10529450501626
Q8N961,-4.0300611938987
Q9UK17,-3.06562587464663
Q8N556,-4.93218821197262
Q5JU69,-4.57623891543907
P63096,-5.24859633067917
Q8WV44,-3.29234619393832
O75170,-4.57658135776263
Q86UK7,-5.34590889206122
Q96A33,-2.71989169150552
Q9HCM7,-3.8718025343067
Q6UUV9,-14.3198149313046
Q12788,-8.18315750999744
O75093,-2.89210258004423
Q13454,-11.3090966671091
O43639,-4.24869354462188
Q9UN74,-2.60556107451604
O75643,-5.56424730075515
Q9NUJ3,-6.1945891969433
P19404,-6.99263720365378
O00213,-2.79023173752253
Q14011,-13.1677264069767
P62937,-5.87122282886507
Q9UKY4,-6.30953063709275
Q14964,-3.95999725392819
Q13023,-5.65878276597781
Q86U90,-5.00987340990176
Q8N5C8,-4.57950683262334
Q9ULR3,-6.52204671939594
P14416,-3.69216018561857
P35568,-3.55454738997936
Q13596,-5.25464099736289
Q8N684,-4.70058325960972
O95848,-7.18858998443483
O95996,-2.60148700150037
Q86W56,-4.63700748881534
Q9ULB1,-4.40300980089283
P85037,-2.7606138584057
P15622,-4.23123491990978
Q53HC0,-5.83322460270704
P35237,-23.2534966642115
P59998,-6.13263966910629
Q9UKB1,-3.19966144050163
Q9H496,-3.49950273691402
O15173,-5.06151403313016
P78563,-5.34451989237297
O14628,-1.84091744042462
O15040,-6.25222879940041
P26378,-4.05012307965991
O00571,-4.62405594456908
P09651,-6.47828140120668
Q8IY17,-2.6322419405057
Q96T76,-5.15793856384557
O43829,-3.42014662135626
Q15596,-4.72034164590545
Q96MG8,-23.2534966642115
Q5GH76,-5.41198083903473
Q9Y5A7,-2.58775797759162
Q8WU90,-5.71672103212618
Q14CW9,-1.08813263426933
Q9H1D9,-4.27522193254061
O94776,-3.71473904845429
O94910,-3.49663586822917
Q9H019,-4.72372482108075
Q8TF44,-3.17294801339745
Q9NZ63,-3.41622929904708
Q6IA86,-3.46264154536004
Q9ULB5,-14.9001206169103
Q9NRH2,-0.775296004196041
P40925,-5.58688224690958
Q9P2Q2,-7.01598026282697
Q08211,-6.53339426842321
Q59EK9,-4.44919860857599
Q9Y4F3,-3.49599847523407
Q9Y6K1,-5.81241843740286
O96000,-6.24575145399909
Q6UN15,-5.74290258513166
O43314,-5.46904561553993
Q9BT67,-3.01235209042996
P41208,-6.70056077196097
P35790,-5.16223962210717
Q15643,-4.73660918841059
O43173,-3.32178344119721
Q9P2Y5,1.80967045921597
Q9NPF5,-3.01180986846759
Q8TEY7,-2.57263633663772
Q969S3,-3.20011607939654
Q9NXR7,-7.13035201738601
P62879,-5.38609025063319
P46100,-5.20496953826354
Q9BPX7,-4.5472762700023
Q9BV68,-4.33079571435929
P78357,-7.90712417976933
Q02338,-0.473534775677443
Q4J6C6,-5.15132450771759
Q8NCC3,-23.2534966642115
Q8N9I9,-2.63354174603292
P31930,-6.18641964732688
P51692,-2.75630424343602
Q9UNZ2,-7.85608925351733
O75317,-3.44025193772929
Q16718,-4.15795417366922
Q6P996,-3.40292588132783
Q96EY1,-4.81223266960613
Q96B54,-3.48714213831588
O00499,-6.18695629664451
O43296,-2.17387679979619
Q969G2,-2.03614668134655
Q7Z5J4,-4.96974431978865
P49116,-3.33057617075277
O43395,-23.2534966642115
P23368,-6.87432706699288
Q6ICG6,-4.29293466063326
P04181,-8.52722680969289
Q13523,-6.45659761762972
O75179,-3.06993656374782
Q96RN5,-4.09421186530437
P27707,-5.05412803190719
P08247,-5.31525684686512
Q7Z3G6,-4.07116612007352
Q7L3T8,-3.27942881031572
O00329,-3.7615018058838
P20340,-3.95333934864992
O95155,-4.6433885399655
Q9UG01,-4.4045344396778
Q8NBJ4,-3.27147882222868
Q9NPH2,-5.13990826169185
Q9Y217,-6.26498231620248
Q86XZ4,-1.9777052195027
O95479,-4.03172947539221
Q6IS24,-3.54304265391267
Q9NZL4,-6.51919228705509
Q9BWH6,-5.61451647093444
Q8IUL8,-5.97207015863475
Q5T7V8,-0.792798069409353
Q86Y79,-3.94028040225959
O43924,-4.56769377841279
Q9Y6E0,-5.91770293422227
Q9UK99,-3.58527674844754
P35222,-3.88120903979111
Q9H6R0,-2.68457144304988
P52429,-5.34597686611481
P00568,-5.83862296434538
Q9HCM3,-3.92648380989089
Q8N0V4,-3.25880115050802
Q96DM3,-2.95640989587108
P82650,-6.31902538006111
Q6VAB6,-4.32690705295933
P21579,-6.51528510569397
Q92604,-5.01344891711935
Q12926,-3.71561134132572
Q6Y7W6,-4.89410908843334
Q9UQ03,-7.80388599059421
Q9BZE1,-6.88024943050132
Q9Y4F5,-3.19075230814473
Q14123,-6.01113587262355
Q5VU43,-4.05092324180707
P57771,-3.58902831585455
O43347,-6.62036740475744
Q5F1R6,-1.74264808060259
Q8NI60,-3.84404567549267
Q9P286,-4.65987929412813
O43670,-4.02476956410704
O15230,-5.07221890331326
Q9BUE6,-6.84775797947585
Q9GZN1,-3.48518402392075
Q9BQ52,-5.75402819216055
P43004,-5.00294829355344
P45954,-5.61832084031659
Q69YN4,-5.82154210316617
Q9H2E6,-4.66996537185097
Q9BQD3,-2.59446317557637
O75347,-7.12438086522607
P45984,-10.8727007817045
Q5VV42,-3.66979613423056
Q969H6,-11.0702328173505
P48664,-3.45842543640133
P12931,-8.00767503804996
Q8TBP6,-6.17610405553797
Q9UJF2,-3.72742815347222
O15258,-8.90141813220991
Q15018,-5.27637065153346
Q9Y5M8,-8.59639685431108
P62979,-2.14210608047324
Q12972,-3.92078704339746
O75592,-5.18501820440207
P50995,-4.61501187688323
O60347,0.13845950189035
A5PKW4,-1.73105559851608
P31629,-2.47918719704074
Q15424,-6.54709614077364
Q8TF61,-4.98251304342857
Q9Y3C6,-6.35929158327306
Q14BN4,-4.87271867691439
Q9UKZ1,-3.07712328863411
Q8N0Z6,-5.0875943467716
Q96II8,-3.54632243733451
P61163,-6.12068998428615
P51452,-6.53196154077849
Q96BN8,-10.3152366819014
O94921,-4.98195006155558
Q9Y320,-2.38771964639127
Q9P2F8,-4.8371057571133
P37108,-4.24097768012566
Q9P2G3,-3.77753105327013
O95461,0.999904815394593
Q9UHK6,-5.59855233416307
Q13615,-7.06340184843359
O95822,-2.56579091464611
Q8IXK0,-2.96644439606324
Q9Y608,-4.20077344864724
Q5GH73,-4.86418092806517
A4D1E9,-3.17326023423104
Q7Z5L9,-1.05972009860555
P52788,-6.12765439060013
Q9UI36,-3.15005568366875
O43524,-3.57489905509586
O95271,-3.55180347647289
Q15717,-6.01981176813264
Q9P0U3,-4.96892336730583
Q96C03,-3.72545311649276
P10606,-4.83744341602843
Q8N5A5,-3.82484347770366
Q0VDG4,-4.91497720411865
P23396,-5.4178410154573
Q9NYJ8,-4.56290768715944
Q96MX3,-3.76388979496228
P17980,-7.26543556777977
Q8IXH7,-5.07102606008987
Q9UIC8,-7.29686202999433
Q6ZTW0,-3.98210425941305
Q93075,-5.51842519738667
P62750,-7.12343323609894
Q86XK2,-1.33356209417014
Q9UPP1,-5.10500189022396
Q06587,-3.75521443870523
Q01581,-6.3662195916773
P02786,-4.62189440221805
Q9BZ72,-5.01414571993877
Q8WUX9,-5.3152260176956
Q9Y672,-5.08657027332464
P23193,-3.87012182390276
Q9ULJ8,-5.28601865181398
Q6NUM9,-5.51974264674891
O96005,-6.11982719469871
Q9NYA4,-2.13617256161612
Q9NVR0,-0.548266068069588
Q9H0D6,-6.51205820840587
Q9BV57,-5.12586688023045
Q9BXI6,-5.56477343781163
Q86UU0,-3.3574798263349
Q9BV20,-23.2534966642115
Q9UBF2,-6.25324312948371
O43427,-7.38096610070378
Q9HCJ0,-4.94156084380345
Q9BSJ5,-9.65486451407941
Q969R5,-4.03751728248092
Q15269,-6.45476923721818
Q9Y376,-5.19949408815608
Q9Y6H5,-16.7210614628602
Q13585,-4.27399943622368
P07093,-23.2534966642115
Q9NRG7,-6.92678849289994
P50583,-23.2534966642115
P57768,-6.04632615649889
Q9C0A0,-5.00309724160379
O00233,-5.31342413941926
P20618,-6.51763326486016
Q9Y2S7,-4.87762505314224
Q8N6N2,-3.51372796942139
P62304,-8.23940494737073
Q15286,-6.99097717193383
Q9UKC9,-4.67467600515751
Q14416,-13.9693196516901
Q96T58,-4.18061499265763
O00743,-5.0678381840763
Q9H8M7,-6.09496224856894
